ticker,BJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-28,29.4118
2018-06-29,7.5
2018-07-02,-0.5074
2018-07-03,5.8649000000000004
2018-07-05,-4.6568000000000005
2018-07-06,-0.4211
2018-07-09,0.9302
2018-07-10,2.3879
2018-07-11,2.2913
2018-07-12,0.0
2018-07-13,8.2
2018-07-16,-0.1848
2018-07-17,-2.5185
2018-07-18,-1.9757
2018-07-19,-0.3876
2018-07-20,0.8171
2018-07-23,0.3474
2018-07-24,0.0385
2018-07-25,-4.0754
2018-07-26,-0.0401
2018-07-27,-2.0048
2018-07-30,1.2684
2018-07-31,0.1616
2018-08-01,0.8068
2018-08-02,3.4013999999999998
2018-08-03,-1.2771
2018-08-06,1.2152
2018-08-07,-1.1232
2018-08-08,1.841
2018-08-09,-2.8846
2018-08-10,-0.1188
2018-08-13,-2.498
2018-08-14,0.8133
2018-08-15,-0.0403
2018-08-16,1.2913999999999999
2018-08-17,2.4303
2018-08-20,2.5282
2018-08-21,0.2656
2018-08-22,1.3620999999999999
2018-08-23,5.1512
2018-08-24,3.0529
2018-08-27,-6.5794
2018-08-28,-0.885
2018-08-29,7.9241
2018-08-30,3.2403
2018-08-31,-1.5025
2018-09-04,2.2034
2018-09-05,0.4975
2018-09-06,3.7954
2018-09-07,-2.5119
2018-09-10,1.6308
2018-09-11,-2.4069
2018-09-12,-0.4604
2018-09-13,-4.1625
2018-09-14,-1.6200999999999999
2018-09-17,-2.3476
2018-09-18,-0.4306
2018-09-19,1.1171
2018-09-20,3.0292
2018-09-21,0.8302
2018-09-24,-2.3670999999999998
2018-09-25,-1.4055
2018-09-26,-5.809
2018-09-27,-1.2107
2018-09-28,2.5661
2018-10-01,1.5310000000000001
2018-10-02,-2.8319
2018-10-03,0.6435
2018-10-04,-2.6326
2018-10-05,-3.5149
2018-10-08,-0.3603
2018-10-09,2.0892
2018-10-10,-5.8638
2018-10-11,0.0
2018-10-12,0.2508
2018-10-15,0.5004
2018-10-16,-2.0747
2018-10-17,1.6101999999999999
2018-10-18,-2.6272
2018-10-19,-2.3555
2018-10-22,-1.2281
2018-10-23,0.0444
2018-10-24,-4.0834
2018-10-25,0.6478
2018-10-26,-3.2184
2018-10-29,-1.4727000000000001
2018-10-30,4.4359
2018-10-31,2.2622
2018-11-01,1.9413
2018-11-02,-0.93
2018-11-05,4.2468
2018-11-06,0.9863
2018-11-07,2.7601
2018-11-08,-1.7769
2018-11-09,-2.7345
2018-11-12,-1.7734
