ticker,GTKP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-04-19,0.0
2002-04-24,-14.4
2002-04-25,2.8037
2002-04-26,-18.1818
2002-04-29,-5.5556
2002-04-30,-5.8824
2002-05-01,25.0
2002-05-02,-16.0
2002-05-03,4.7619
2002-05-06,-5.6818
2002-05-22,-49.3976
2002-05-28,7.1429
2002-05-29,0.0
2002-06-13,-51.1111
2002-06-14,104.5455
2002-06-20,0.0
2002-06-24,0.0
2002-06-25,-4.4444
2002-06-27,-18.6047
2002-07-02,-57.1429
2002-07-03,-13.3333
2002-08-01,-61.5385
2002-08-02,400.0
2002-08-05,-88.0
2002-08-06,0.0
2002-08-09,300.0
2002-08-13,-66.6667
2002-08-14,-87.5
2002-08-16,100.0
2002-09-04,-90.0
2002-09-19,0.0
2002-09-20,6400.0
2002-09-23,-38.4615
2002-09-25,-97.5
2002-10-16,0.0
2002-11-08,900.0
2002-11-19,0.0
2002-12-02,-90.0
2003-01-17,100.0
2003-03-18,2650.0
2003-03-25,-87.2727
2003-04-16,-28.5714
2003-04-23,0.0
2003-05-02,-60.0
2003-09-17,-93.75
2003-11-24,0.0
2004-04-16,0.0
2004-06-29,0.0
2004-12-21,0.0
2004-12-30,0.0
2005-01-21,0.0
2007-03-29,0.0
2007-09-14,0.0
2007-10-22,700.0
2008-01-24,24900.0
2008-01-25,100.0
2008-01-28,150.0
2008-01-29,-0.2
2008-02-01,-0.8016
2008-02-04,-44.4444
2008-02-05,-54.5455
2008-02-06,20.0
2008-02-07,-16.6667
2008-02-13,-68.0
2008-02-15,-37.5
2008-02-20,100.0
2008-02-27,-50.0
2008-03-04,260.0
2008-03-05,-2.2222
2008-04-22,-20.4545
2008-04-23,0.0
2008-04-24,7.1429
2008-04-25,26.6667
2008-04-28,-5.2632
2008-04-29,0.0
2008-04-30,5.5556
2008-05-01,5.2632
2008-05-02,50.0
2008-05-05,30.0
2008-05-06,1.5385
2008-05-07,-24.2424
2008-05-09,-23.3333
2008-05-12,4.3478
2008-05-13,-12.5
2008-05-14,19.0476
2008-05-21,12.0
2008-05-23,-21.4286
2008-05-27,13.6364
2008-05-28,-20.0
2008-05-29,-11.0
2008-05-30,6.7416
2008-06-05,5.2632
2008-06-06,15.0
2008-06-11,-13.0435
2008-06-13,-17.0
2008-06-16,8.4337
2008-06-17,11.1111
2008-06-18,-10.0
2008-06-19,22.2222
2008-06-20,-13.6364
2008-06-24,-21.0526
2008-06-25,-6.6667
2008-06-26,21.4286
