ticker,AVRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-21,64.2105
2018-06-22,-1.4744
2018-06-25,-0.8458
2018-06-26,1.1482999999999999
2018-06-27,-0.9406
2018-06-28,-8.055
2018-06-29,1.7094
2018-07-02,-4.2367
2018-07-03,-1.4625
2018-07-05,1.9666000000000001
2018-07-06,3.1659
2018-07-09,-1.2698
2018-07-10,2.2508
2018-07-11,-2.0964
2018-07-12,5.7102
2018-07-13,-5.1317
2018-07-16,3.452
2018-07-17,-0.172
2018-07-18,16.8504
2018-07-19,1.7399
2018-07-20,8.8406
2018-07-23,2.024
2018-07-24,1.2529
2018-07-25,0.5672
2018-07-26,-14.5091
2018-07-27,-5.4573
2018-07-30,1.7444
2018-07-31,-0.2494
2018-08-01,-0.5313
2018-08-02,2.5762
2018-08-03,6.9525
2018-08-06,5.6987
2018-08-07,1.1921
2018-08-08,4.3373
2018-08-09,-2.3351
2018-08-10,7.6458
2018-08-13,1.0007
2018-08-14,-0.5317
2018-08-15,-0.9961
2018-08-16,-0.2209
2018-08-17,-1.6232
2018-08-20,-3.325
2018-08-21,0.8017
2018-08-22,0.0257
2018-08-23,-0.7951
2018-08-24,1.6287
2018-08-27,-4.0193
2018-08-28,-2.7564
2018-08-29,-2.9708
2018-08-30,-2.3876
2018-08-31,-1.1511
2018-09-04,-4.9491
2018-09-05,-2.634
2018-09-06,2.7053000000000003
2018-09-07,1.807
2018-09-10,-0.6619
2018-09-11,7.3289
2018-09-12,3.9503
2018-09-13,-0.2986
2018-09-14,7.8955
2018-09-17,4.2392
2018-09-18,0.4599
2018-09-19,8.4337
2018-09-20,6.6667
2018-09-21,2.6042
2018-09-24,1.8071000000000002
2018-09-25,4.2282
2018-09-26,0.8419
2018-09-27,-0.2087
2018-09-28,-1.3691
2018-10-01,-51.552
2018-10-02,-18.5038
2018-10-03,14.9414
2018-10-04,-0.6797
2018-10-05,6.4585
2018-10-08,2.6517
2018-10-09,-5.4403
2018-10-10,-1.697
2018-10-11,-0.5895
2018-10-12,6.6074
2018-10-15,4.8868
2018-10-16,10.303
2018-10-17,4.842
2018-10-18,-5.9286
2018-10-19,-4.4568
2018-10-22,1.0933
2018-10-23,3.9293
2018-10-24,4.2664
2018-10-25,8.782399999999999
2018-10-26,-7.5535
2018-10-29,-3.4734
2018-10-30,-1.3708
2018-10-31,4.4475
2018-11-01,-1.4969999999999999
2018-11-02,-0.7092
2018-11-05,1.2925
2018-11-06,0.2015
2018-11-07,-0.3351
