ticker,FTCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-21,42.25
2018-09-24,6.3269
2018-09-25,-5.2893
2018-09-26,-2.2688
2018-09-27,-2.6429
2018-09-28,-0.1101
2018-10-01,-4.26
2018-10-02,3.6057
2018-10-03,-1.8881999999999999
2018-10-04,-0.9811
2018-10-05,-5.3354
2018-10-08,-6.7633
2018-10-09,-7.9447
2018-10-10,-2.6266
2018-10-11,-2.1676
2018-10-12,14.7218
2018-10-15,-1.2446
2018-10-16,8.605
2018-10-17,-3.2413
2018-10-18,-4.9628
2018-10-19,-8.6162
2018-10-22,4.7619
2018-10-23,-7.4091000000000005
2018-10-24,-7.9529
2018-10-25,7.68
2018-10-26,-1.4364
2018-10-29,-1.7588
2018-10-30,7.11
2018-10-31,-1.9102000000000001
2018-11-01,7.1081
2018-11-02,-3.1364
2018-11-05,-2.3463
2018-11-06,4.3248
2018-11-07,2.1188
2018-11-08,-0.5413
2018-11-09,5.5329
2018-11-12,-9.2394
2018-11-13,2.983
2018-11-14,2.6207000000000003
2018-11-15,5.7796
2018-11-16,-4.532
2018-11-19,-10.071
2018-11-20,-3.9467
2018-11-21,8.0637
2018-11-23,0.6179
2018-11-26,2.0784
2018-11-27,-1.3881999999999999
2018-11-28,5.2557
2018-11-29,1.8279
2018-11-30,-0.394
2018-12-03,-1.3187
2018-12-04,-1.1581
2018-12-06,0.6309
2018-12-07,-0.9852
2018-12-10,0.7689
2018-12-11,1.2118
2018-12-12,2.6608
2018-12-13,0.4752
2018-12-14,2.6654999999999998
2018-12-17,-12.0184
2018-12-18,0.5236
2018-12-19,-9.0436
2018-12-20,-3.0713
2018-12-21,-5.478
2018-12-24,-3.3523
2018-12-26,1.94
2018-12-27,2.6528
2018-12-28,0.8427
2018-12-31,-1.337
2019-01-02,-1.9763
2019-01-03,-5.53
2019-01-04,5.9756
2019-01-07,7.8826
2019-01-08,4.1067
2019-01-09,0.1025
2019-01-10,-2.0471
2019-01-11,-3.5004999999999997
2019-01-14,0.4331
2019-01-15,2.3181
2019-01-16,3.4247
2019-01-17,1.9868000000000001
2019-01-18,4.2458
2019-01-22,-3.1624
2019-01-23,-2.9688
2019-01-24,1.2239
2019-01-25,3.9295
2019-01-28,-0.0485
2019-01-29,-4.0252
2019-01-30,-0.6569
2019-01-31,2.4924
2019-02-01,-0.2978
2019-02-04,-1.6924000000000001
2019-02-05,-1.9747
2019-02-06,0.2583
2019-02-07,1.2365
2019-02-08,-0.8142
