ticker,MYHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-08-13,-16.6667
2014-02-11,1900.0
2014-02-12,4.0
2014-02-13,0.0
2014-02-14,-0.4808
2014-02-18,49.7585
2014-02-19,12.9032
2014-02-20,1.4285999999999999
2014-02-21,-1.4085
2014-02-24,-8.5714
2014-02-25,0.0
2014-02-27,9.375
2014-02-28,-9.4286
2014-03-03,23.0284
2014-03-04,3.8462
2014-03-05,-1.2346
2014-03-06,1.75
2014-03-07,3.6855
2014-03-10,0.9479
2014-03-11,60.7981
2014-03-12,104.3796
2014-03-13,-30.3571
2014-03-14,3.4872
2014-03-17,4.0634
2014-03-18,-7.1429
2014-03-19,-0.1026
2014-03-20,-5.0308
2014-03-21,4.8649000000000004
2014-03-24,-8.2474
2014-03-25,-19.6629
2014-03-26,2.0979
2014-03-27,-4.2466
2014-03-28,-3.4335
2014-03-31,-25.9259
2014-04-01,2.0
2014-04-02,-1.9607999999999999
2014-04-03,-5.0
2014-04-04,-2.1053
2014-04-07,-25.8065
2014-04-08,-6.9565
2014-04-09,37.0717
2014-04-10,20.9091
2014-04-11,13.9098
2014-04-14,-20.7921
2014-04-15,-4.1667
2014-04-16,-2.1739
2014-04-17,14.4444
2014-04-21,0.9709
2014-04-22,10.0
2014-04-23,-12.5874
2014-04-24,-1.0
2014-04-25,0.8081
2014-04-28,-5.8116
2014-04-29,3.1915
2014-04-30,-1.4433
2014-05-01,-18.8285
2014-05-02,-8.5052
2014-05-05,35.2113
2014-05-06,-11.4583
2014-05-07,-12.9412
2014-05-08,2.7027
2014-05-09,-15.526299999999999
2014-05-12,-3.4268
2014-05-13,2.9032
2014-05-14,-6.2696
2014-05-15,-19.7324
2014-05-16,-27.0833
2014-05-19,45.7143
2014-05-20,7.0588
2014-05-21,-8.4249
2014-05-22,15.6
2014-05-23,-4.8443000000000005
2014-05-27,-5.4545
2014-05-28,5.7692
2014-05-29,-10.9091
2014-05-30,2.0408
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,-0.4
2014-06-05,5.2209
2014-06-06,-4.5802
2014-06-09,-7.6
2014-06-10,7.3593
2014-06-11,-2.0161
2014-06-12,-3.7037
2014-06-13,4.2735
2014-06-16,12.7049
2014-06-17,7.2727
2014-06-18,-1.6949
2014-06-19,-3.4483
2014-06-20,-2.8571
2014-06-23,-4.4118
2014-06-24,-9.6154
2014-06-25,-3.8298
2014-06-26,-5.3097
2014-06-27,0.4673
2014-06-30,-1.3953
2014-07-01,-5.6604
