ticker,CLSD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-02,3.5714
2016-06-03,-2.6207000000000003
2016-06-06,-0.8499
2016-06-07,-1.1429
2016-06-08,1.1561
2016-06-09,-0.5714
2016-06-10,-0.8621
2016-06-13,0.0
2016-06-14,1.3043
2016-06-15,0.2861
2016-06-16,-0.1427
2016-06-17,1.4285999999999999
2016-06-20,-0.8451
2016-06-21,-0.9943
2016-06-22,1.8651
2016-06-23,-2.8169
2016-06-24,-1.4493
2016-06-27,2.9412000000000003
2016-06-28,-1.2857
2016-06-29,0.2876
2016-06-30,1.1562000000000001
2016-07-01,-3.281
2016-07-05,1.7699
2016-07-06,-3.9130000000000003
2016-07-07,2.4133
2016-07-08,-3.6082
2016-07-11,0.0764
2016-07-12,3.5115
2016-07-13,3.2448
2016-07-14,-3.5714
2016-07-15,-2.2222
2016-07-18,-0.1515
2016-07-19,-1.5175
2016-07-20,0.9245
2016-07-21,-0.8721
2016-07-22,1.4959
2016-07-25,-0.3035
2016-07-26,2.2831
2016-07-27,-2.9762
2016-07-28,0.1534
2016-07-29,-7.3507
2016-08-01,0.4959
2016-08-02,5.9211
2016-08-03,-0.4658
2016-08-04,1.092
2016-08-05,-4.4753
2016-08-08,-2.9887
2016-08-09,12.7394
2016-08-10,0.0
2016-08-11,6.2038
2016-08-12,0.0
2016-08-15,-0.6954
2016-08-16,-5.3221
2016-08-17,3.5503
2016-08-18,0.0
2016-08-19,0.2857
2016-08-22,0.8547
2016-08-23,5.226
2016-08-24,-4.2953
2016-08-25,0.9818
2016-08-26,-2.6389
2016-08-29,1.7163
2016-08-30,4.6237
2016-08-31,-1.0724
2016-09-01,4.4715
2016-09-02,5.835
2016-09-06,-0.6725
2016-09-07,2.4059
2016-09-08,-1.4458
2016-09-09,2.6895
2016-09-12,-5.7143
2016-09-13,1.0101
2016-09-14,1.75
2016-09-15,-0.1229
2016-09-16,2.952
2016-09-19,24.7312
2016-09-20,5.4597999999999995
2016-09-21,7.9019
2016-09-22,-1.0943
2016-09-23,18.9787
2016-09-26,9.1559
2016-09-27,9.1088
2016-09-28,5.3453
2016-09-29,-5.9293
2016-09-30,5.1515
2016-10-03,4.1499
2016-10-04,-4.0952
2016-10-05,6.1743
2016-10-06,9.5109
2016-10-07,15.9801
2016-10-10,5.6055
2016-10-11,0.1621
2016-10-12,-13.39
2016-10-13,-10.7426
2016-10-14,5.4945
2016-10-17,5.3075
2016-10-18,2.9675000000000002
2016-10-19,-7.6395
