ticker,ITLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,108.3333
2000-01-06,0.0
2000-01-12,-52.0
2000-01-20,150.0
2000-01-21,0.0
2000-01-27,108.3333
2000-01-28,0.0
2000-02-16,80.0
2000-02-17,-0.4444
2000-02-23,0.5357
2000-03-15,24.3339
2000-03-17,-64.2857
2000-03-20,0.0
2000-03-22,380.0
2000-03-23,45.8333
2000-03-24,-42.2857
2000-03-31,0.0
2000-04-03,48.5149
2000-04-04,-83.3333
2000-04-05,600.0
2000-04-06,-71.4286
2000-04-19,250.0
2000-05-04,-28.5714
2000-05-11,-60.0
2000-05-17,0.0
2000-09-19,0.0
2000-11-20,150.0
2000-11-30,-80.0
2001-06-05,0.0
2001-06-06,-40.0
2001-07-09,0.0
2001-08-15,0.0
2001-08-24,0.0
2001-09-04,0.0
2001-09-05,66.6667
2001-09-07,16.0
2001-10-04,-65.5172
2001-12-21,-50.0
2002-04-18,100.0
2002-10-15,-90.0
2002-11-01,400.0
2002-12-12,-90.0
2002-12-17,-80.0
2003-01-06,0.0
2003-01-08,900.0
2003-02-18,0.0
2003-05-05,-98.75
2003-06-17,19900.0
2003-07-17,20.0
2003-07-21,33.3333
2003-07-28,25.0
2003-07-29,0.0
2003-07-30,0.0
2003-08-26,0.0
2003-11-03,-70.0
2003-11-11,266.6667
2003-11-17,-27.2727
2003-11-18,-25.0
2003-12-03,50.0
2003-12-09,0.0
2004-01-21,11.1111
2004-01-22,0.0
2004-04-21,10.0
2004-06-01,9.0909
2004-08-27,25.0
2004-09-01,0.0
2004-09-16,-20.0
2004-12-22,-50.0
2005-02-25,0.0
2005-03-30,0.0
2005-04-08,-66.6667
2005-04-25,0.0
2005-05-02,0.0
2005-08-18,0.0
2005-09-19,0.0
2005-09-26,0.0
2005-10-06,-20.0
2005-10-21,12.5
2005-12-13,11.1111
2006-03-22,50.0
2006-04-18,100.0
2006-08-17,-33.3333
2006-09-26,0.0
2006-09-27,0.0
2006-09-28,0.0
2006-10-12,0.0
2006-10-13,-25.0
2006-10-25,0.0
2006-11-02,0.0
2006-11-22,0.0
2006-12-27,0.0
2007-02-12,0.0
2007-11-20,-33.3333
2007-11-21,0.0
2007-11-29,-50.0
2007-12-03,0.0
2008-01-11,0.0
2008-06-02,40.0
2008-11-14,14.2857
2008-11-28,25.0
2008-12-01,100.0
2008-12-03,50.0
2008-12-04,0.0
2008-12-09,-66.6667
2008-12-17,100.0
2008-12-18,0.0
2008-12-19,0.0
2009-02-19,-50.0
2009-04-13,-50.0
2009-05-13,-80.0
2009-06-16,-50.0
2010-03-30,1100.0
2010-10-20,-97.9167
2010-11-11,7900.0
2011-01-13,-91.25
2011-02-17,71.4286
2011-12-30,75.0
2013-03-22,90.4762
2013-04-26,0.0
2013-07-16,50.0
2013-07-17,-33.3333
2013-10-03,-20.0
2014-02-06,-25.0
2014-02-24,33.3333
2014-02-25,0.0
2014-04-07,0.0
2014-04-22,0.0
2015-02-06,0.0
2015-11-19,-84.375
2016-10-07,0.0
2017-06-22,-4.0
2017-08-15,0.0
2017-12-19,0.0
2017-12-28,66.6667
2018-01-19,-40.0
2018-03-19,0.0
2018-08-07,166.6667
2018-09-19,212.5
2019-02-21,20.0
2019-05-17,66.6667
2019-09-17,0.0
2019-10-08,0.0
2019-10-14,0.0
2019-10-17,0.0
2019-12-05,-63.0
2020-01-06,8.1081
2020-01-07,0.0
2020-05-07,0.0
2020-07-29,150.0
