ticker,TLRY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-19,31.7059
2018-07-20,32.9611
2018-07-23,-1.0749
2018-07-24,-13.8879
2018-07-25,4.4558
2018-07-26,-0.3398
2018-07-27,-7.9545
2018-07-30,-6.0082
2018-07-31,-3.2399
2018-08-01,3.7557
2018-08-02,4.0994
2018-08-03,1.173
2018-08-06,2.8571
2018-08-07,-0.6441
2018-08-08,0.2431
2018-08-09,3.4762
2018-08-10,0.8594
2018-08-13,3.2727
2018-08-14,-9.0568
2018-08-15,20.0
2018-08-16,0.5842
2018-08-17,4.8514
2018-08-20,16.9762
2018-08-21,11.2535
2018-08-22,-2.3535
2018-08-23,-1.9231
2018-08-24,14.6667
2018-08-27,21.8422
2018-08-28,-3.6302
2018-08-29,20.6408
2018-08-30,-4.9252
2018-08-31,10.3775
2018-09-04,18.1135
2018-09-05,16.6861
2018-09-06,-10.8613
2018-09-07,-2.7591
2018-09-10,8.4863
2018-09-11,13.3609
2018-09-12,9.5626
2018-09-13,14.1115
2018-09-14,-8.9429
2018-09-17,10.2155
2018-09-18,28.9458
2018-09-19,38.121
2018-09-20,-17.6166
2018-09-21,-30.2523
2018-09-24,-19.1057
2018-09-25,8.4221
2018-09-26,6.1364
2018-09-27,14.6725
2018-09-28,9.3831
2018-10-01,14.8726
2018-10-02,-16.2505
2018-10-03,13.5051
2018-10-04,-7.1797
2018-10-05,0.9205
2018-10-08,-4.7036
2018-10-09,-7.8857
2018-10-10,6.0794
2018-10-11,-3.5453
2018-10-12,12.3911
2018-10-15,11.6925
2018-10-16,-4.383
2018-10-17,-6.396
2018-10-18,2.887
2018-10-19,-4.7401
2018-10-22,-15.6228
2018-10-23,-1.4763
2018-10-24,-9.5207
2018-10-25,-2.3241
2018-10-26,1.2459
2018-10-29,-16.0992
2018-10-30,-0.6396
2018-10-31,5.2053
2018-11-01,4.4203
2018-11-02,0.5153
2018-11-05,1.4976
2018-11-06,5.8229
2018-11-07,30.6382
2018-11-08,-14.9713
2018-11-09,-8.1803
2018-11-12,4.0829
2018-11-13,-1.6661000000000001
2018-11-14,-8.2564
2018-11-15,4.8173
2018-11-16,2.9924
2018-11-19,-3.3581
2018-11-20,-2.5944000000000003
2018-11-21,5.1058
2018-11-23,6.1477
2018-11-26,-1.6289
2018-11-27,-0.1227
2018-11-28,-2.7368
2018-11-29,-3.3189
2018-11-30,-4.431
2018-12-03,0.4783
2018-12-04,-2.6035
2018-12-06,-1.2567
2018-12-07,1.2626
