ticker,DRVD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-02,162.5
2018-01-03,1185.7143
2018-01-05,640.7407
2018-01-09,10.0
2018-01-17,18.1818
2018-01-23,-92.3077
2018-03-27,-25.0
2018-04-03,-26.6667
2018-04-23,0.0
2018-06-01,-45.4545
2018-08-03,6.6667
2018-09-06,100.0
2018-09-07,-1.5625
2018-09-17,153.9683
2018-09-18,0.0
2018-09-20,-38.125
2018-09-21,60.6061
2018-09-26,-8.805
2018-10-01,4.1379
2018-10-03,2.649
2018-10-04,-22.5806
2018-10-23,15.8333
2018-10-26,0.0
2018-10-29,-7.1942
2018-10-30,0.7752
2018-10-31,-7.6923
2018-12-04,66.6667
2018-12-06,75.0
2018-12-07,0.0
2018-12-10,-14.2857
2018-12-11,50.0
2018-12-12,-11.1111
2018-12-14,-12.5
2018-12-17,14.2857
2018-12-18,0.0
2018-12-19,0.0
2018-12-21,-50.0
2018-12-24,-37.5
2018-12-26,-4.0
2019-01-02,425.0
2019-01-03,-20.4762
2019-01-04,-37.1257
2019-01-07,-20.634900000000002
2019-01-08,-10.0
2019-01-09,166.2222
2019-01-10,-0.1669
2019-01-11,0.3344
2019-01-14,24.1667
2019-01-15,14.094
2019-01-16,0.0
2019-01-17,-5.6471
2019-01-18,-31.4214
2019-01-22,-6.1818
2019-01-23,-22.4806
2019-01-24,27.5
2019-01-25,0.9804
2019-01-28,6.7961
2019-01-29,-9.0909
2019-01-30,80.0
2019-01-31,22.2222
2019-02-01,-9.0909
2019-02-04,-2.5
2019-02-05,7.6923
2019-02-06,14.2857
2019-02-07,104.8042
2019-02-08,38.191
2019-02-11,-9.0909
2019-02-12,-7.6
2019-02-13,-0.4329
2019-02-14,-11.3043
2019-02-15,47.0588
2019-02-19,6.6667
2019-02-20,-6.25
2019-02-21,28.3333
2019-02-22,-10.3896
2019-02-25,4.3478
2019-02-26,-10.0
2019-02-27,3.3951000000000002
2019-02-28,-2.3881
2019-03-01,5.5046
2019-03-04,-9.8116
2019-03-05,1.2373
2019-03-06,-15.873
2019-03-07,13.9623
2019-03-08,-13.9073
2019-03-11,0.0
2019-03-12,16.5385
2019-03-13,0.0
2019-03-14,1.3531
2019-03-15,4.2006
2019-03-18,-2.5
2019-03-19,-3.8462
2019-03-20,-8.3333
2019-03-21,2.9091
2019-03-22,-11.3074
2019-03-25,11.5538
2019-03-26,0.7143
2019-03-27,-4.2553
2019-03-28,2.2222
2019-03-29,-2.1739
2019-04-01,-5.9259
