ticker,MAJCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-21,0.0
2005-12-22,0.3846
2005-12-23,2.2989
2005-12-27,-2.5468
2005-12-28,-0.0769
2005-12-29,0.1538
2005-12-30,-0.0768
2006-01-03,0.0
2006-01-04,0.3075
2006-01-05,0.0
2006-01-06,-0.3831
2006-01-09,0.0
2006-01-10,0.0
2006-01-11,0.0
2006-01-12,0.0
2006-01-13,0.0769
2006-01-17,-0.0769
2006-01-18,-2.1538
2006-01-19,2.2799
2006-01-20,-0.0769
2006-01-23,-0.0769
2006-01-24,1.5396
2006-01-25,1.5920999999999998
2006-01-26,3.2836
2006-01-27,-2.0954
2006-01-30,2.6568
2006-01-31,2.4443
2006-02-01,1.193
2006-02-02,-0.6935
2006-02-03,1.5363
2006-02-06,3.1637
2006-02-07,-1.3333
2006-02-08,-0.8784
2006-02-09,-1.9087
2006-02-10,-0.2085
2006-02-13,0.2786
2006-02-14,-0.9722
2006-02-15,0.7714
2006-02-16,-1.6006
2006-02-17,1.2730000000000001
2006-02-21,-1.5363
2006-02-22,0.141
2006-02-23,-0.1408
2006-02-24,-0.7801
2006-02-27,-2.4303
2006-02-28,-0.3672
2006-03-01,1.1039
2006-03-02,-0.5818
2006-03-03,-1.1703999999999999
2006-03-06,-5.8475
2006-03-07,-0.1572
2006-03-08,0.0
2006-03-09,-1.7323
2006-03-10,0.2404
2006-03-13,0.2398
2006-03-14,0.4785
2006-03-15,0.7143
2006-03-16,-1.2608
2006-03-17,-0.3192
2006-03-20,0.0801
2006-03-21,-0.276
2006-03-22,-2.2903000000000002
2006-03-23,-1.8062
2006-03-24,4.5151
2006-03-27,-2.56
2006-03-28,-1.2315
2006-03-29,-1.33
2006-03-30,-2.4431
2006-03-31,-1.1226
2006-04-03,-0.4367
2006-04-04,0.8772
2006-04-05,1.3913
2006-04-06,-0.5146
2006-04-07,0.7759
2006-04-10,-1.6253
2006-04-11,0.1739
2006-04-12,-2.7778
2006-04-13,0.1786
2006-04-17,1.6042999999999998
2006-04-18,1.1404
2006-04-19,-2.3417
2006-04-20,-0.9769
2006-04-21,-3.5874
2006-04-24,-3.2558
2006-04-25,-2.5962
2006-04-26,0.4936
2006-04-27,2.947
2006-04-28,1.2405
2006-05-01,0.0
2006-05-02,0.754
2006-05-03,-0.8419
2006-05-04,-0.4717
2006-05-05,0.9479
2006-05-08,4.8826
2006-05-09,-6.6249
2006-05-10,-1.0547
2006-05-11,2.7132
2006-05-12,0.4717
