ticker,ASC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-01,-3.5714
2013-08-02,1.8519
2013-08-05,0.0
2013-08-06,0.6545
2013-08-07,-0.6503
2013-08-08,0.0
2013-08-09,0.3636
2013-08-12,0.0
2013-08-13,0.8696
2013-08-14,-0.5029
2013-08-15,0.8664
2013-08-16,-0.1432
2013-08-19,-0.7885
2013-08-20,0.0723
2013-08-21,0.0
2013-08-22,1.083
2013-08-23,-2.0714
2013-08-26,0.5106
2013-08-27,0.2903
2013-08-28,0.4342
2013-08-29,-1.0086
2013-08-30,-0.5822
2013-09-03,-1.0981
2013-09-04,-0.3701
2013-09-05,0.3715
2013-09-06,-0.7402
2013-09-09,-0.0746
2013-09-10,0.7463
2013-09-11,0.6667
2013-09-12,-0.0736
2013-09-13,-0.2209
2013-09-16,-0.5166
2013-09-17,-1.4095
2013-09-18,-2.9345
2013-09-19,-1.938
2013-09-20,-1.1067
2013-09-23,0.3197
2013-09-24,-0.7968
2013-09-25,-2.4096
2013-09-26,-0.5761
2013-09-27,0.1656
2013-09-30,0.3306
2013-10-01,2.5535
2013-10-02,-1.5261
2013-10-03,-1.7128999999999999
2013-10-04,0.332
2013-10-07,-1.158
2013-10-08,-2.1757
2013-10-09,2.7374
2013-10-10,7.4105
2013-10-11,-1.2403
2013-10-14,1.8053
2013-10-15,0.1542
2013-10-16,0.077
2013-10-17,0.0
2013-10-18,2.5385
2013-10-21,-0.7502
2013-10-22,0.5291
2013-10-23,-0.8271
2013-10-24,-0.1516
2013-10-25,-0.4556
2013-10-28,0.3814
2013-10-29,1.7477
2013-10-30,-2.1658
2013-10-31,-0.1527
2013-11-01,0.6881
2013-11-04,0.9112
2013-11-05,-0.6772
2013-11-06,-0.1061
2013-11-07,0.3049
2013-11-08,1.4438
2013-11-11,-0.7491
2013-11-12,0.6792
2013-11-13,-0.5997
2013-11-14,-1.9607999999999999
2013-11-15,1.0
2013-11-18,-0.457
2013-11-19,0.2295
2013-11-20,-1.0687
2013-11-21,-1.0802
2013-11-22,-0.624
2013-11-25,0.0785
2013-11-26,-0.6275
2013-11-27,-0.3157
2013-11-29,1.2668
2013-12-02,-4.5348
2013-12-03,1.4742
2013-12-04,1.0492
2013-12-05,-0.5591
2013-12-06,-0.241
2013-12-09,0.3221
2013-12-10,2.0867
2013-12-11,2.5943
2013-12-12,-0.3831
2013-12-13,1.3846
2013-12-16,-0.9863
2013-12-17,0.7663
2013-12-18,5.2471
2013-12-19,2.9624
