ticker,AKTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-04,99.6
2015-06-05,30.2605
2015-06-08,-7.6923
2015-06-11,-0.1667
2015-06-12,-4.0067
2015-06-16,-9.913
2015-06-17,0.3861
2015-06-19,-13.461500000000001
2015-06-24,-5.5556
2015-06-29,12.9412
2015-06-30,3.125
2015-07-01,0.0
2015-07-10,0.8081
2015-07-17,0.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-24,-3.8076
2015-07-28,6.25
2015-08-03,2.9412000000000003
2015-08-21,-4.7619
2015-08-25,0.0
2015-08-27,0.0
2015-09-04,-3.2
2015-09-14,-27.686
2015-09-15,14.2857
2015-09-17,-12.5
2015-09-21,14.2857
2015-09-24,0.0
2015-09-25,6.25
2015-10-09,-2.3529
2015-10-14,0.0
2015-10-15,7.2289
2015-10-20,-15.7303
2015-10-23,-6.6667
2015-10-26,0.0
2015-10-28,-11.4286
2015-10-29,0.0
2015-11-02,-1.2903
2015-11-13,-18.3007
2015-11-16,0.0
2015-11-18,-10.0
2015-11-20,-11.1111
2015-11-23,12.5
2015-11-24,-12.0
2015-12-01,1.0101
2015-12-02,-10.0
2015-12-03,-11.1111
2015-12-04,0.0
2015-12-10,8.75
2015-12-11,-5.1724
2015-12-14,-3.0303
2015-12-16,6.25
2015-12-17,0.0
2015-12-18,2.3529
2015-12-21,2.8736
2015-12-22,1.1173
2015-12-23,-0.5525
2015-12-24,-5.5556
2015-12-28,-3.5294
2015-12-30,-7.9268
2015-12-31,5.9603
2016-01-05,6.25
2016-01-06,-2.9412000000000003
2016-01-07,3.0303
2016-01-08,0.0
2016-01-11,0.0
2016-01-12,-0.5882
2016-01-13,0.5917
2016-01-14,0.0
2016-01-19,0.0
2016-01-21,-2.9412000000000003
2016-01-22,3.0303
2016-01-25,-5.8824
2016-01-26,6.25
2016-01-27,-2.9412000000000003
2016-01-28,0.0
2016-01-29,-0.6061
2016-02-01,0.0
2016-02-02,-1.2195
2016-02-03,-1.2346
2016-02-04,0.0
2016-02-05,0.0
2016-02-08,-0.625
2016-02-09,-2.5157
2016-02-10,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,-2.5806
2016-02-25,2.649
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,0.0
2016-03-08,-1.2903
2016-03-09,4.5752
