ticker,BV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-28,-2.7273
2018-06-29,2.5701
2018-07-02,1.139
2018-07-03,2.027
2018-07-05,-1.766
2018-07-06,-1.7978
2018-07-09,0.6865
2018-07-10,0.1364
2018-07-11,-0.5901
2018-07-12,0.3196
2018-07-13,-0.7738
2018-07-16,-0.1376
2018-07-17,-1.3321
2018-07-18,1.8155999999999999
2018-07-19,-0.3658
2018-07-20,0.6884
2018-07-23,0.9116
2018-07-24,3.0714
2018-07-25,0.2191
2018-07-26,-0.2186
2018-07-27,-0.8326
2018-07-30,-0.1326
2018-07-31,-0.7522
2018-08-01,-1.9617
2018-08-02,-1.4552
2018-08-03,1.6613
2018-08-06,0.5447
2018-08-07,-0.5869
2018-08-08,0.8174
2018-08-09,-10.3604
2018-08-10,-5.3769
2018-08-13,-6.2666
2018-08-14,-7.2521
2018-08-15,4.9481
2018-08-16,2.2701000000000002
2018-08-17,-0.683
2018-08-20,1.0888
2018-08-21,1.4172
2018-08-22,-1.062
2018-08-23,0.791
2018-08-24,0.4484
2018-08-27,0.7812
2018-08-28,1.1074
2018-08-29,0.7119
2018-08-30,-1.0875
2018-08-31,-2.3639
2018-09-04,0.1689
2018-09-05,1.7988
2018-09-06,2.9266
2018-09-07,-0.7511
2018-09-10,-1.8919000000000001
2018-09-11,2.314
2018-09-12,-1.2386
2018-09-13,0.1091
2018-09-14,1.0893
2018-09-17,-0.3772
2018-09-18,-0.5949
2018-09-19,-1.6322
2018-09-20,-2.2124
2018-09-21,-2.7715
2018-09-24,-3.8975999999999997
2018-09-25,-3.3293
2018-09-26,1.8159
2018-09-27,-3.567
2018-09-28,2.3597
2018-10-01,-4.9844
2018-10-02,-3.6721
2018-10-03,4.0844
2018-10-04,-1.4388
2018-10-05,-2.7206
2018-10-08,1.0232
2018-10-09,-1.688
2018-10-10,-4.3269
2018-10-11,0.7897
2018-10-12,1.2107999999999999
2018-10-15,-3.2372
2018-10-16,4.5091
2018-10-17,0.3479
2018-10-18,-3.1207
2018-10-19,-1.9327
2018-10-22,-0.365
2018-10-23,-0.293
2018-10-24,-2.1308
2018-10-25,0.9009
2018-10-26,1.8601
2018-10-29,-0.8766
2018-10-30,5.5269
2018-10-31,2.7933
2018-11-01,-2.106
2018-11-02,1.9431
2018-11-05,-1.7018
2018-11-06,-3.3241
2018-11-07,1.5043
2018-11-08,-0.494
2018-11-09,-1.7730000000000001
2018-11-12,-3.1769
2018-11-13,0.522
2018-11-14,-0.816
