ticker,TRMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-14,-13.55
2017-09-15,-5.1475
2017-09-18,0.6707
2017-09-19,0.3028
2017-09-20,1.8719999999999999
2017-09-21,0.4742
2017-09-22,-2.0059
2017-09-25,0.0602
2017-09-26,-0.361
2017-09-27,0.0604
2017-09-28,-1.6295
2017-09-29,2.454
2017-10-02,-0.8982
2017-10-03,-0.9063
2017-10-04,-1.1585
2017-10-05,0.5552
2017-10-06,1.5337
2017-10-09,-2.6586
2017-10-10,1.2415
2017-10-11,0.8584
2017-10-12,2.7964
2017-10-13,0.2365
2017-10-16,0.295
2017-10-17,-1.0
2017-10-18,-1.3666
2017-10-19,-0.6024
2017-10-20,0.8485
2017-10-23,0.0
2017-10-24,-0.1803
2017-10-25,-1.9266
2017-10-26,-1.1663999999999999
2017-10-27,-0.8696
2017-10-30,2.7443999999999997
2017-10-31,-0.0488
2017-11-01,-2.3185000000000002
2017-11-02,1.4365999999999999
2017-11-03,-2.0936
2017-11-06,2.1384
2017-11-07,-2.5246
2017-11-08,2.59
2017-11-09,-1.4163000000000001
2017-11-10,-0.6871
2017-11-13,-0.1887
2017-11-14,-1.9534
2017-11-15,2.9563
2017-11-16,-0.3745
2017-11-17,-1.1905000000000001
2017-11-20,0.1268
2017-11-21,0.76
2017-11-22,-1.8228
2017-11-24,1.4725
2017-11-27,-1.8927
2017-11-28,-0.4502
2017-11-29,-0.9044
2017-11-30,-0.6519
2017-12-01,0.0
2017-12-04,-0.9843
2017-12-05,0.2319
2017-12-06,-0.6281
2017-12-07,-0.1331
2017-12-08,-0.3997
2017-12-11,3.2776
2017-12-12,-3.1736
2017-12-13,0.2007
2017-12-14,-0.6008
2017-12-15,-1.6118000000000001
2017-12-18,-0.2048
2017-12-19,0.9576
2017-12-20,-0.542
2017-12-21,1.3624
2017-12-22,-1.2097
2017-12-26,0.8163
2017-12-27,-1.1471
2017-12-28,1.5017
2017-12-29,-1.2105
2018-01-02,-1.5657
2018-01-03,0.0
2018-01-04,0.7953
2018-01-05,1.5436999999999999
2018-01-08,-0.6757
2018-01-09,1.0204
2018-01-10,0.5387
2018-01-11,0.4019
2018-01-12,-1.7345000000000002
2018-01-16,2.7834
2018-01-17,2.3778
2018-01-18,-3.0968
2018-01-19,-2.1305
2018-01-22,0.6122
2018-01-23,2.5693
2018-01-24,-0.0659
2018-01-25,1.5165
2018-01-26,-2.9233000000000002
2018-01-29,-1.7403
2018-01-30,-1.2943
2018-01-31,4.0028
