ticker,QRMLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-15,-3.2271
2008-04-17,4.6521
2008-04-18,10.1495
2008-04-23,3.5357
2008-04-28,10.3829
2008-04-30,0.0
2008-05-09,-9.0
2008-05-12,-21.4286
2008-05-14,22.3776
2008-05-15,8.0
2008-05-16,-8.2011
2008-05-20,4.611
2008-05-22,9.0909
2008-05-27,-18.6869
2008-05-28,16.7702
2008-06-04,-34.1423
2008-06-09,12.2665
2008-06-13,14.0288
2008-06-16,-22.9101
2008-06-17,30.5371
2008-06-20,0.3135
2008-06-25,-5.0
2008-06-27,0.0
2008-07-02,-18.6678
2008-07-08,19.7169
2008-07-10,28.3784
2008-07-14,-24.1118
2008-07-15,-2.9042
2008-07-22,-12.1429
2008-07-24,-7.5711
2008-07-25,-26.3881
2008-07-29,9.9328
2008-08-06,8.1522
2008-08-11,25.6281
2008-08-20,-28.55
2008-08-22,65.7103
2008-08-25,-0.6757
2008-08-26,2.0408
2008-09-04,13.0
2008-09-11,-45.5383
2008-09-30,-13.3378
2008-10-06,0.0
2008-10-07,-25.0
2008-10-08,-33.9583
2008-10-10,48.8959
2008-10-15,53.178
2008-10-24,-46.3347
2008-12-12,-42.0103
2008-12-18,28.0
2008-12-31,30.5556
2009-01-09,-59.5745
2009-02-13,1.6447
2009-02-19,13.9159
2009-02-24,231.8182
2009-03-06,-74.9144
2009-03-25,-16.3823
2009-04-02,40.4082
2009-04-13,-13.9535
2009-05-01,494.5946
2009-05-05,4.5455
2009-05-11,-4.3478
2009-05-15,11.25
2009-05-26,46.4249
2009-05-27,-11.9986
2009-05-28,-2.3385
2009-05-29,20.7792
2009-06-01,-4.3011
2009-06-02,-11.868
2009-06-03,20.4781
2009-06-04,30.4894
2009-06-05,-7.0198
2009-06-08,3.3524
2009-06-09,-7.173
2009-06-10,13.0114
2009-06-11,9.8793
2009-06-15,-14.2302
2009-06-16,-7.522
2009-06-17,10.4413
2009-06-18,20.0575
2009-06-19,6.1562
2009-06-22,-10.1639
2009-06-23,5.1095
2009-06-24,1.3237999999999999
2009-06-25,3.4911
2009-06-26,-1.6556
2009-06-29,-5.4503
2009-06-30,-1.5356999999999998
2009-07-02,0.1808
2009-07-07,-6.4982
2009-07-08,44.4015
2009-07-09,18.5829
2009-07-10,-10.7525
2009-07-13,-2.3843
2009-07-14,-2.0058
2009-07-15,17.448
2009-07-16,22.1082
2009-07-17,6.5032
2009-07-20,10.2345
2009-07-21,-0.1275
2009-07-22,-6.361
