ticker,JFIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-08,700.0
2013-05-09,25.0
2013-06-05,3.3333
2013-06-11,6.4516
2013-06-13,-15.1515
2013-06-20,17.8571
2013-07-15,0.0
2013-07-17,7.8788
2013-07-22,0.0
2013-09-23,-12.9213
2013-09-24,-3.2258
2013-10-04,10.0
2015-03-26,21.2121
2015-08-21,50.0
2015-09-03,0.0
2015-11-20,-36.6667
2015-11-23,10.526299999999999
2015-12-15,7.1429
2015-12-16,8.8889
2016-02-05,-20.4082
2016-02-08,-10.2564
2016-02-09,-14.2857
2016-02-10,6.6667
2016-02-11,-9.375
2016-02-12,-9.6552
2016-02-16,0.0
2016-02-22,-4.5802
2016-02-23,-8.0
2016-02-24,-4.3478
2016-02-25,-9.0909
2016-02-26,0.0
2016-03-01,-10.0
2016-03-02,-11.1111
2016-03-04,-23.75
2016-03-07,31.1475
2016-03-08,0.0
2016-03-09,0.0
2016-03-15,-37.5
2016-03-17,0.0
2016-03-18,20.0
2016-03-21,-25.0
2016-03-22,22.2222
2016-03-23,9.0909
2016-03-30,-30.8333
2016-04-01,-1.2048
2016-04-05,24.3902
2016-04-06,-38.2353
2016-04-07,0.0
2016-04-21,-1.5873
2016-05-06,-3.2258
2016-05-18,-16.6667
2016-06-17,-8.0
2016-07-05,-4.3478
2016-07-06,-22.7273
2016-07-07,-29.4118
2016-07-08,-16.6667
2016-07-11,-30.0
2016-07-13,-12.857099999999999
2016-07-14,-8.1967
2016-07-15,-8.9286
2016-07-18,-1.9607999999999999
2016-07-19,-8.0
2016-07-25,-13.0435
2016-07-27,-8.75
2016-07-28,-1.3699
2016-08-02,-27.7778
2016-08-11,-3.8462
2016-08-12,-12.0
2016-08-17,-4.5455
2016-08-18,-9.5238
2016-08-19,-15.7895
2016-08-22,-25.0
2016-08-23,-8.3333
2016-08-24,81.8182
2016-08-26,-35.0
2016-08-29,-3.8462
2016-08-30,-12.0
2016-08-31,-7.9545
2016-09-02,-9.2593
2016-09-06,0.0
2016-09-07,-12.9252
2016-09-08,87.5
2016-09-09,-23.3333
2016-09-12,4.3478
2016-09-14,-16.6667
2016-09-15,-15.0
2016-09-19,0.0
2016-09-20,-11.7647
2016-09-21,20.0
2016-09-22,11.1111
2016-09-23,20.0
2016-09-26,-16.6667
2016-09-28,275.0
2016-09-29,-25.3333
2016-09-30,-21.4286
2016-10-03,-9.0909
2016-10-04,0.0
2016-10-05,0.0
2016-10-07,0.0
2016-10-10,-20.0
