ticker,PEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-18,37.6667
2015-09-21,-3.1477
2015-09-22,0.9
2015-09-23,3.2458
2015-09-24,0.024
2015-09-25,-3.3589
2015-09-28,-3.0785
2015-09-29,1.4344000000000001
2015-09-30,1.2626
2015-10-01,-0.2244
2015-10-02,-0.2999
2015-10-05,-0.0251
2015-10-06,-1.3541
2015-10-07,4.4992
2015-10-08,1.4108
2015-10-09,-5.2531
2015-10-12,-0.9114
2015-10-13,2.1717
2015-10-14,1.9755
2015-10-15,-0.9318
2015-10-16,0.9901
2015-10-19,0.4902
2015-10-20,-3.4634
2015-10-21,-2.7287
2015-10-22,-4.6234
2015-10-23,3.8943
2015-10-26,-0.3932
2015-10-27,-1.8420999999999998
2015-10-28,-2.1448
2015-10-29,3.5397
2015-10-30,-2.0163
2015-11-02,0.5671
2015-11-03,0.0806
2015-11-04,-0.6439
2015-11-05,-0.5131
2015-11-06,0.6515
2015-11-09,2.2654
2015-11-10,5.8281
2015-11-11,0.5731
2015-11-12,-0.223
2015-11-13,23.6653
2015-11-16,-0.0201
2015-11-17,-3.1131
2015-11-18,-2.5705
2015-11-19,-1.7234
2015-11-20,-0.4546
2015-11-23,4.1105
2015-11-24,1.5041
2015-11-25,4.7745999999999995
2015-11-27,-1.2964
2015-11-30,0.1393
2015-12-01,4.4315999999999995
2015-12-02,-0.7802
2015-12-03,-6.1949
2015-12-04,1.697
2015-12-07,-4.3024000000000004
2015-12-08,-4.4118
2015-12-09,5.1648
2015-12-10,7.628
2015-12-11,4.6019
2015-12-14,-4.0653
2015-12-15,2.6896
2015-12-16,4.7673
2015-12-17,-1.1331
2015-12-18,0.0182
2015-12-21,-0.7457
2015-12-22,1.2095
2015-12-23,-1.5752000000000002
2015-12-24,-0.2575
2015-12-28,1.5861
2015-12-29,-0.6536
2015-12-30,0.3289
2015-12-31,-1.9854
2016-01-04,3.5309
2016-01-05,-1.2206
2016-01-06,-0.0545
2016-01-07,-2.6182
2016-01-08,3.0993
2016-01-11,0.1992
2016-01-12,-0.6145
2016-01-13,-2.6187
2016-01-14,-1.0458
2016-01-15,-7.3976
2016-01-19,-1.345
2016-01-20,-3.8834999999999997
2016-01-21,-1.8483
2016-01-22,-1.8831
2016-01-25,2.6557
2016-01-26,-2.2826
2016-01-27,-3.2258
2016-01-28,-2.6207000000000003
2016-01-29,1.0387
2016-02-01,5.8411
2016-02-02,0.9934
2016-02-03,-1.6612
2016-02-04,0.8891
