ticker,SFWJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-22,-60.0
2005-03-23,120.0
2005-03-28,-54.5455
2005-04-21,150.0
2005-04-22,40.0
2005-04-25,-20.0
2005-04-26,0.0
2005-05-10,-10.7143
2005-05-12,0.0
2005-05-16,-20.0
2005-05-18,0.0
2005-05-19,0.0
2005-05-23,0.0
2005-05-24,0.0
2005-05-25,0.0
2005-05-31,0.0
2005-06-07,-50.0
2005-06-08,150.0
2005-06-09,-40.0
2005-06-13,0.0
2005-06-22,-6.6667
2005-07-19,-42.8571
2005-07-25,0.0
2005-08-16,-37.5
2005-08-17,0.0
2005-08-23,-60.0
2005-09-01,250.0
2005-09-06,14.2857
2005-09-07,25.0
2005-09-08,80.0
2005-09-09,-16.6667
2005-09-19,6.6667
2005-09-22,-25.0
2005-09-26,0.0
2005-09-27,0.0
2005-10-03,50.0
2005-10-04,11.1111
2005-10-05,25.0
2005-10-06,-16.0
2005-10-07,0.0
2005-10-10,0.0
2005-10-11,-28.5714
2005-10-12,13.3333
2005-10-13,5.8824
2005-10-14,-33.3333
2005-10-17,66.6667
2005-10-18,-32.5
2005-10-19,11.1111
2005-10-20,-6.6667
2005-10-24,-42.8571
2005-10-25,0.0
2005-10-26,0.0
2005-10-31,37.5
2005-11-04,-9.0909
2005-11-08,0.0
2005-11-10,0.0
2005-11-11,50.0
2005-11-16,-6.6667
2005-11-18,-28.5714
2005-11-21,10.0
2005-11-22,9.0909
2005-11-23,-4.1667
2005-11-25,-4.3478
2005-11-28,18.1818
2005-11-29,7.6923
2005-11-30,-7.1429
2005-12-02,0.0
2005-12-05,11.538499999999999
2005-12-06,-3.4483
2005-12-07,-7.1429
2005-12-08,7.6923
2005-12-09,21.4286
2005-12-12,23.5294
2005-12-13,4.7619
2005-12-14,18.1818
2005-12-15,53.8462
2005-12-16,-5.0
2005-12-19,-39.4737
2005-12-20,26.087
2005-12-21,-10.3448
2005-12-22,-19.2308
2005-12-23,-19.0476
2005-12-27,-17.647100000000002
2005-12-28,14.2857
2005-12-29,-12.5
2005-12-30,42.8571
2006-01-03,-20.0
2006-01-04,0.0
2006-01-05,6.25
2006-01-06,5.8824
2006-01-09,-11.1111
2006-01-10,0.0
2006-01-11,12.5
2006-01-12,-11.1111
2006-01-13,0.0
2006-01-17,0.0
2006-01-18,0.0
2006-01-19,12.5
2006-01-20,11.1111
2006-01-23,-10.0
2006-01-24,11.1111
2006-01-25,15.0
2006-01-26,13.0435
2006-01-27,-7.6923
