ticker,LHGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-13,900.0
2008-03-06,0.0
2008-03-19,1.0
2008-03-24,0.0
2008-04-07,-49.505
2008-04-08,86.2745
2008-04-14,-21.0526
2008-04-24,-26.6667
2008-05-12,0.0
2008-05-16,0.0
2008-06-24,127.2727
2008-06-25,-84.0
2008-08-14,150.0
2008-09-08,150.0
2008-09-09,0.0
2008-09-10,-40.0
2008-09-18,166.6667
2008-10-13,-30.0
2008-11-04,96.4286
2008-11-07,45.4545
2008-11-10,37.5
2008-11-12,0.0
2008-11-26,-81.8182
2008-12-01,300.0
2008-12-03,-70.0
2008-12-04,66.6667
2008-12-11,-10.0
2008-12-12,22.2222
2008-12-15,13.6364
2008-12-19,8.0
2008-12-22,0.0
2008-12-23,0.0
2008-12-24,0.0
2008-12-29,0.0
2008-12-30,-3.7037
2009-01-02,-7.6923
2009-01-06,-16.6667
2009-01-12,-50.0
2009-01-13,-30.0
2009-01-15,42.8571
2009-01-20,20.0
2009-01-21,175.0
2009-01-22,18.1818
2009-01-23,20.5128
2009-01-26,6.383
2009-01-27,-14.0
2009-01-28,-11.6279
2009-01-29,-15.7895
2009-01-30,31.25
2009-02-05,-16.6667
2009-02-06,20.0
2009-02-09,-4.7619
2009-02-10,0.0
2009-02-11,0.0
2009-02-12,5.0
2009-02-13,0.0
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,0.0
2009-02-20,0.0
2009-02-23,-4.7619
2009-02-24,-15.0
2009-02-25,-5.8824
2009-02-26,0.0
2009-03-03,-6.25
2009-03-04,-3.3333
2009-03-05,-48.2759
2009-03-06,33.3333
2009-03-09,0.0
2009-03-10,15.0
2009-03-12,-21.7391
2009-03-13,0.0
2009-03-16,-66.6667
2009-03-17,208.3333
2009-03-18,-18.9189
2009-03-19,-6.6667
2009-03-20,0.0
2009-03-23,-35.7143
2009-03-24,0.0
2009-03-25,0.0
2009-03-26,11.1111
2009-03-27,-25.0
2009-03-30,-6.6667
2009-03-31,14.2857
2009-04-01,-12.5
2009-04-02,-1.4285999999999999
2009-04-03,15.942
2009-04-06,12.5
2009-04-08,-22.2222
2009-04-09,14.2857
2009-04-13,-25.0
2009-04-14,50.0
2009-04-15,-2.2222
2009-04-16,1.1364
2009-04-17,-21.3483
2009-04-21,0.0
2009-04-22,0.0
2009-04-23,-14.2857
2009-04-24,16.6667
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,-14.2857
2009-04-30,0.0
2009-05-01,8.3333
