ticker,TPIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-22,23.2727
2016-07-25,-2.2861000000000002
2016-07-26,4.3774
2016-07-27,3.4707
2016-07-28,-0.559
2016-07-29,2.7758000000000003
2016-08-01,1.7778
2016-08-02,-1.3436
2016-08-03,0.715
2016-08-04,6.8289
2016-08-05,-1.8987
2016-08-08,-3.5484
2016-08-09,-0.0669
2016-08-10,0.7363
2016-08-11,8.2392
2016-08-12,-0.2455
2016-08-15,4.4308
2016-08-16,9.6052
2016-08-17,1.5591
2016-08-18,1.6411
2016-08-19,-1.3021
2016-08-22,-0.1055
2016-08-23,-1.9017
2016-08-24,-2.6925
2016-08-25,-2.1583
2016-08-26,-0.8484
2016-08-29,16.6572
2016-08-30,-0.6357
2016-08-31,-2.1161
2016-09-01,-0.5028
2016-09-02,-1.3643
2016-09-06,0.1025
2016-09-07,1.2282
2016-09-08,2.6795
2016-09-09,-10.6352
2016-09-12,3.0303
2016-09-13,-1.8717000000000001
2016-09-14,0.654
2016-09-15,0.6497
2016-09-16,6.1323
2016-09-19,5.0684
2016-09-20,-3.232
2016-09-21,3.3898
2016-09-22,1.5429
2016-09-23,1.2346
2016-09-26,-3.0957
2016-09-27,3.0494
2016-09-28,3.8516
2016-09-29,-5.156
2016-09-30,1.3829
2016-10-03,-1.7404
2016-10-04,4.5955
2016-10-05,-2.151
2016-10-06,1.8241
2016-10-07,4.1341
2016-10-10,-1.0146
2016-10-11,-17.647100000000002
2016-10-12,-5.4113
2016-10-13,-0.286
2016-10-14,3.2129
2016-10-17,-1.2785
2016-10-18,-0.2252
2016-10-19,2.7088
2016-10-20,-1.978
2016-10-21,0.3924
2016-10-24,0.0
2016-10-25,-1.2842
2016-10-26,-4.0724
2016-10-27,-9.7288
2016-10-28,5.4866
2016-10-31,-1.4241
2016-11-01,-4.3342
2016-11-02,-4.4649
2016-11-03,-4.4674
2016-11-04,5.8993
2016-11-07,2.6494999999999997
2016-11-08,0.7942
2016-11-09,2.2981
2016-11-10,-3.9153000000000002
2016-11-11,-3.4736000000000002
2016-11-14,-3.8754
2016-11-15,-3.8157
2016-11-16,4.2665
2016-11-17,3.9483
2016-11-18,3.1768
2016-11-21,-4.7523
2016-11-22,2.2488
2016-11-23,1.512
2016-11-25,6.9736
2016-11-28,-3.7342
2016-11-29,-1.9724
2016-11-30,1.7438
2016-12-01,-2.2413
2016-12-02,-0.944
2016-12-05,0.0
2016-12-06,0.4765
2016-12-07,2.9133
2016-12-08,-0.395
