ticker,UFAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-01,42.0
2015-07-02,-7.7094000000000005
2015-07-06,-1.8474
2015-07-07,-0.9002
2015-07-08,-0.9083
2015-07-09,2.5
2015-07-10,0.813
2015-07-13,4.8387
2015-07-14,0.3846
2015-07-15,-1.8391
2015-07-16,-3.669
2015-07-17,2.5122
2015-07-20,-3.5573
2015-07-21,0.082
2015-07-22,0.4105
2015-07-23,2.3644
2015-07-24,-1.992
2015-07-27,-4.6341
2015-07-28,2.9838
2015-07-29,1.4073
2015-07-30,0.2449
2015-07-31,-2.2801
2015-08-03,0.0
2015-08-04,2.5
2015-08-05,8.1301
2015-08-06,4.5113
2015-08-07,-5.0351
2015-08-10,1.1354
2015-08-11,6.7416
2015-08-12,-7.4386
2015-08-13,-3.4875
2015-08-14,1.414
2015-08-17,-3.1758
2015-08-18,-5.76
2015-08-19,-1.1885
2015-08-20,1.6322999999999999
2015-08-21,0.1712
2015-08-24,2.1368
2015-08-25,-2.5105
2015-08-26,3.0043
2015-08-27,1.5
2015-08-28,-0.6568
2015-08-31,0.5372
2015-09-01,-0.1233
2015-09-02,0.823
2015-09-03,3.1837
2015-09-04,-1.9383
2015-09-08,2.4607
2015-09-09,1.9685000000000001
2015-09-10,0.3089
2015-09-11,1.2308
2015-09-14,0.3812
2015-09-15,-0.2273
2015-09-16,3.0372
2015-09-17,-6.2638
2015-09-18,-14.7013
2015-09-21,9.9539
2015-09-22,-5.2808
2015-09-23,-3.8053
2015-09-24,0.276
2015-09-25,-0.1376
2015-09-28,3.2614
2015-09-29,-1.2456
2015-09-30,0.0
2015-10-01,0.5405
2015-10-02,3.0466
2015-10-05,4.3478
2015-10-06,1.5
2015-10-07,1.8062
2015-10-08,2.8226
2015-10-09,-1.1764999999999999
2015-10-12,2.7778
2015-10-13,-1.9304999999999999
2015-10-14,-1.5748
2015-10-15,2.24
2015-10-16,-1.5649
2015-10-19,-3.0207
2015-10-20,1.0656
2015-10-21,0.0
2015-10-22,-1.7843
2015-10-23,-2.5599
2015-10-26,1.8643999999999998
2015-10-28,-3.9101
2015-10-29,-0.9524
2015-11-02,6.3811
2015-11-03,0.2465
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,-0.1639
2015-11-10,0.1632
2015-11-11,-0.3268
2015-11-16,-0.0822
2015-11-17,-4.2798
2015-11-19,1.1178
2015-11-20,-2.2109
2015-11-23,4.8696
2015-11-24,0.3317
2015-11-25,0.4132
2015-11-27,-0.0833
