ticker,FDUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-21,0.0
2011-06-22,-0.6
2011-06-23,-0.5366
2011-06-24,-0.0674
2011-06-27,0.2024
2011-06-28,0.6061
2011-06-29,-0.4016
2011-06-30,-0.4704
2011-07-01,1.2829
2011-07-05,-1.6667
2011-07-06,0.0
2011-07-07,1.0847
2011-07-08,-0.2012
2011-07-11,-0.0672
2011-07-12,-1.5467
2011-07-13,-0.2049
2011-07-14,-0.0684
2011-07-15,-1.7123
2011-07-18,-1.8117999999999999
2011-07-19,2.1434
2011-07-20,-2.4458
2011-07-21,-0.7835
2011-07-22,3.0869
2011-07-25,-3.1337
2011-07-26,1.5528
2011-07-27,-1.6707
2011-07-28,-0.1296
2011-07-29,-6.286
2011-08-01,4.2154
2011-08-02,-0.3543
2011-08-03,-1.4889000000000001
2011-08-04,-4.5041
2011-08-05,0.5512
2011-08-08,1.8794
2011-08-09,-1.9985
2011-08-10,-1.8039
2011-08-11,0.7029
2011-08-12,1.2056
2011-08-15,2.1944
2011-08-16,1.6104
2011-08-17,-1.1320999999999999
2011-08-18,-6.4885
2011-08-19,0.3265
2011-08-22,-2.3596
2011-08-23,7.4167
2011-08-24,0.0776
2011-08-25,-0.4651
2011-08-26,0.0
2011-08-29,1.8692
2011-08-30,2.5229
2011-08-31,-1.3423
2011-09-01,2.9478
2011-09-02,-3.6564
2011-09-06,2.8045
2011-09-07,0.593
2011-09-08,1.4738
2011-09-09,-0.7435
2011-09-12,-6.5918
2011-09-13,2.8869
2011-09-14,-2.4942
2011-09-15,3.4373
2011-09-16,-4.0958
2011-09-19,1.9339
2011-09-20,1.6601
2011-09-21,-4.1991
2011-09-22,-8.0357
2011-09-23,1.5887
2011-09-26,6.4292
2011-09-27,6.1224
2011-09-28,-2.4615
2011-09-29,-4.9685
2011-09-30,4.4813
2011-10-03,-6.8308
2011-10-04,9.3777
2011-10-05,3.1955999999999998
2011-10-06,-0.9819
2011-10-07,-1.6018
2011-10-10,1.3953
2011-10-11,0.4587
2011-10-12,0.0761
2011-10-13,-1.1407
2011-10-14,-0.0769
2011-10-17,-4.0801
2011-10-18,4.3339
2011-10-19,-8.3846
2011-10-20,1.0915
2011-10-21,-0.7475
2011-10-24,4.1004
2011-10-25,-4.4212
2011-10-26,0.5046
2011-10-27,8.0335
2011-10-28,0.3098
2011-10-31,0.3861
2011-11-01,-5.4615
2011-11-02,2.8478
2011-11-03,1.2658
2011-11-04,-6.25
2011-11-07,2.3333
