ticker,TRWH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-01,3.4391
2019-04-02,0.0646
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,1.5161
2019-04-08,0.7309
2019-04-09,0.0
2019-04-10,1.6404
2019-04-11,2.4209
2019-04-12,1.2121
2019-04-15,-0.6287
2019-04-16,-0.693
2019-04-17,-0.8799
2019-04-18,0.704
2019-04-22,-0.6079
2019-04-23,0.0
2019-04-24,-0.3364
2019-04-25,-0.4603
2019-04-26,-0.185
2019-04-29,0.1235
2019-04-30,-0.3701
2019-05-01,-2.0743
2019-05-02,0.0
2019-05-03,-0.6955
2019-05-06,-1.5282
2019-05-07,-1.7459
2019-05-08,0.0987
2019-05-09,0.4274
2019-05-10,-0.982
2019-05-13,-1.0248
2019-05-14,0.4342
2019-05-15,0.0998
2019-05-16,2.99
2019-05-17,0.6129
2019-05-20,2.2443
2019-05-21,-0.2509
2019-05-22,0.4715
2019-05-23,-0.6884
2019-05-24,-2.0479
2019-05-28,0.772
2019-05-29,-1.0533
2019-05-30,0.0
2019-05-31,-2.7742
2019-06-03,-0.3981
2019-06-04,0.2998
2019-06-05,-0.3321
2019-06-06,-0.7997
2019-06-07,1.0413000000000001
2019-06-10,3.1582
2019-06-11,0.4834
2019-06-12,-0.1924
2019-06-13,-0.1928
2019-06-14,0.322
2019-06-17,-2.2786
2019-06-18,-0.2299
2019-06-19,-4.8058
2019-06-20,3.112
2019-06-21,1.5760999999999998
2019-06-24,-3.6976
2019-06-25,4.1481
2019-06-26,-0.5596
2019-06-27,0.3641
2019-06-28,-1.8799000000000001
2019-07-01,-2.084
2019-07-02,0.206
2019-07-03,-0.0685
2019-07-05,-0.1371
2019-07-08,0.2403
2019-07-09,-0.6873
2019-07-10,-0.692
2019-07-11,-4.6341
2019-07-12,5.8458
2019-07-15,-0.069
2019-07-16,-1.5544
2019-07-17,-0.7719
2019-07-18,0.7779
2019-07-19,-1.9649
2019-07-22,0.68
2019-07-23,0.2488
2019-07-24,-0.2482
2019-07-25,-2.1685
2019-07-26,0.3997
2019-07-29,-4.7412
2019-07-30,-0.9498
2019-07-31,1.2275
2019-08-01,-0.72
2019-08-02,-3.3588
2019-08-05,-2.8436
2019-08-06,-4.4309
2019-08-07,-0.2127
2019-08-08,0.9378
2019-08-09,-1.1402
2019-08-12,-11.7898
2019-08-13,2.0339
2019-08-14,0.9967
2019-08-15,0.7519
2019-08-16,0.0933
2019-08-19,1.6309
2019-08-20,2.0174
