ticker,PFPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-20,8.3077
2012-04-23,-2.3438
2012-04-24,0.2182
2012-04-25,0.2903
2012-04-26,-1.6643
2012-04-27,-3.3848
2012-04-30,-0.2285
2012-05-01,0.0
2012-05-02,0.3817
2012-05-03,0.1901
2012-05-04,2.5427
2012-05-07,5.2554
2012-05-08,1.8987
2012-05-09,-4.4859
2012-05-10,-0.5058
2012-05-11,-1.3072
2012-05-14,-0.3679
2012-05-15,5.9084
2012-05-16,-1.7433999999999998
2012-05-17,-4.7551
2012-05-18,-2.3845
2012-05-21,-0.7634
2012-05-22,0.5385
2012-05-23,-1.1477
2012-05-24,-3.6378
2012-05-25,1.0442
2012-05-29,9.38
2012-05-30,0.5814
2012-05-31,3.1069
2012-06-01,-12.5438
2012-06-04,1.4423
2012-06-05,4.0284
2012-06-06,8.732
2012-06-07,1.1173
2012-06-08,1.5884
2012-06-11,-4.5547
2012-06-12,0.9259
2012-06-13,2.7523
2012-06-14,1.0302
2012-06-15,-0.2719
2012-06-18,-0.4772
2012-06-19,3.6986
2012-06-20,-0.0661
2012-06-21,1.7845
2012-06-22,-1.4935
2012-06-25,3.0982
2012-06-26,4.5396
2012-06-27,4.8318
2012-06-28,-1.2252
2012-06-29,0.1181
2012-07-02,-5.1917
2012-07-03,2.6757999999999997
2012-07-05,2.4242
2012-07-06,-0.355
2012-07-09,-5.285
2012-07-10,-4.953
2012-07-11,-2.3747
2012-07-12,3.2432
2012-07-13,1.0471
2012-07-16,-3.2383
2012-07-17,-1.5394999999999999
2012-07-18,2.9232
2012-07-19,-4.2272
2012-07-20,-1.7241
2012-07-23,-2.0351
2012-07-24,-1.8625
2012-07-25,0.8759
2012-07-26,5.1375
2012-07-27,0.7571
2012-07-30,-1.0929
2012-07-31,-4.558
2012-08-01,-2.9667
2012-08-02,4.3997
2012-08-03,4.1429
2012-08-06,-0.1372
2012-08-07,-3.228
2012-08-08,1.4194
2012-08-09,1.3996
2012-08-10,-3.5197000000000003
2012-08-13,-5.2217
2012-08-14,1.8868
2012-08-15,2.1481
2012-08-16,2.6831
2012-08-17,2.5423999999999998
2012-08-20,-3.2369
2012-08-21,-2.2776
2012-08-22,-0.2185
2012-08-23,-0.5109
2012-08-24,-1.5407
2012-08-27,-0.2235
2012-08-28,1.7924
2012-08-29,0.0734
2012-08-30,-3.5924
2012-08-31,-1.2928
2012-09-04,-4.1602
2012-09-05,3.6977
2012-09-06,5.3488
2012-09-07,0.6623
