ticker,ZXAIY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-12,-2.5
2011-05-13,6.8376
2011-05-16,0.8
2011-05-17,-4.127
2011-05-18,0.6623
2011-05-19,-0.4934
2011-05-20,-0.6694
2011-05-23,0.3411
2011-05-24,-0.4975
2011-05-25,0.1667
2011-05-26,0.0
2011-05-27,0.0
2011-05-31,-7.9867
2011-06-01,-2.3508
2011-06-02,-10.3704
2011-06-03,-2.2727
2011-06-06,0.6342
2011-06-07,-4.2017
2011-06-08,-4.6053
2011-06-09,1.8391
2011-06-10,3.8375
2011-06-13,4.3478
2011-06-14,-4.375
2011-06-15,-4.3573
2011-06-16,1.8223
2011-06-17,2.4581
2011-06-20,-2.1807
2011-06-21,-0.6696
2011-06-22,20.2247
2011-06-23,1.7944
2011-06-24,-1.0283
2011-06-27,-2.7829
2011-06-28,0.1908
2011-06-29,1.9048
2011-06-30,-2.8037
2011-07-01,1.9231
2011-07-05,1.6981000000000002
2011-07-06,-1.1132
2011-07-07,1.3133
2011-07-08,-2.7778
2011-07-11,1.9048
2011-07-12,-1.8692
2011-07-13,0.9524
2011-07-14,3.0189
2011-07-15,-2.5641
2011-07-18,0.5639
2011-07-19,3.7382999999999997
2011-07-20,2.1622
2011-07-21,-0.3527
2011-07-22,10.0885
2011-07-25,-2.7331
2011-07-26,-4.1322
2011-07-27,-1.8965999999999998
2011-07-28,2.8120000000000003
2011-07-29,0.8547
2011-08-01,0.0
2011-08-02,-0.8475
2011-08-03,-2.5641
2011-08-04,1.7544
2011-08-05,-6.0345
2011-08-08,-6.9725
2011-08-09,0.5917
2011-08-10,1.9607999999999999
2011-08-11,0.3846
2011-08-12,-0.7663
2011-08-15,-2.5097
2011-08-16,-2.3762
2011-08-17,-4.6653
2011-08-18,0.2128
2011-08-19,18.6837
2011-08-22,-9.6601
2011-08-23,2.9703
2011-08-24,1.1538
2011-08-25,-4.943
2011-08-26,-3.0
2011-08-29,7.6314
2011-08-30,1.5301
2011-08-31,-4.717
2011-09-01,-5.1485
2011-09-02,-0.1044
2011-09-06,-3.8662
2011-09-07,-2.1739
2011-09-08,1.1111
2011-09-09,-1.3187
2011-09-12,-2.2272
2011-09-13,-1.3667
2011-09-14,1.6166
2011-09-15,0.0
2011-09-16,-0.9091
2011-09-19,-0.2294
2011-09-20,6.8966
2011-09-21,-1.7204000000000002
2011-09-22,-6.7834
2011-09-23,-0.2347
2011-09-26,-1.8824
2011-09-27,0.0
2011-09-28,0.4796
