ticker,CTBO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-04,0.0
2016-02-09,0.0
2016-02-12,-33.3333
2016-05-23,25.0
2016-05-24,4.0
2016-05-25,2.3077
2016-05-26,2.2556
2016-05-27,2.5735
2016-05-31,3.5013
2016-06-01,1.8115999999999999
2016-06-02,4.4218
2016-06-03,2.9316
2016-06-06,5.0633
2016-06-07,2.1084
2016-06-08,4.3566
2016-06-09,1.4787
2016-06-10,-3.8997
2016-06-13,-36.2319
2016-06-14,13.1818
2016-06-15,-8.8353
2016-06-16,5.7269
2016-06-17,-4.1667
2016-06-20,-7.8261
2016-06-21,3.7736
2016-06-22,-11.3636
2016-06-23,5.1282
2016-06-24,-2.9268
2016-06-27,3.0151
2016-06-28,0.0
2016-06-29,1.9512
2016-06-30,0.4785
2016-07-01,10.4762
2016-07-05,15.0862
2016-07-06,17.2285
2016-07-07,-15.9744
2016-07-08,-14.4487
2016-07-11,17.7778
2016-07-12,8.3019
2016-07-13,-11.1215
2016-07-14,-2.384
2016-07-15,0.4016
2016-07-18,-0.4
2016-07-19,0.0
2016-07-20,-3.6145
2016-07-21,-7.0833
2016-07-22,1.3453
2016-07-25,0.4425
2016-07-26,-7.9295
2016-07-27,1.9139
2016-07-28,-6.1033
2016-07-29,3.8437
2016-08-01,3.5209
2016-08-02,-3.2558
2016-08-03,0.9615
2016-08-04,0.4762
2016-08-05,-0.9479
2016-08-08,-4.3062000000000005
2016-08-09,1.0
2016-08-10,1.4851
2016-08-11,-0.9756
2016-08-12,0.4926
2016-08-15,1.9607999999999999
2016-08-16,-3.8462
2016-08-17,-0.5
2016-08-18,1.005
2016-08-19,2.9851
2016-08-22,0.0
2016-08-23,-3.3816
2016-08-24,1.5
2016-08-25,-1.4778
2016-08-26,-2.0
2016-08-29,-0.5102
2016-08-30,-3.5897
2016-08-31,-9.5745
2016-09-01,-21.7647
2016-09-02,-31.5789
2016-09-06,-1.0989
2016-09-07,-16.6667
2016-09-08,-12.0
2016-09-09,12.1212
2016-09-12,-12.1622
2016-09-13,7.6923
2016-09-14,2.8571
2016-09-15,5.5556
2016-09-16,5.2632
2016-09-19,1.25
2016-09-20,-1.2346
2016-09-21,-6.25
2016-09-22,-5.3333
2016-09-23,4.2254
2016-09-26,-4.0541
2016-09-27,-2.8169
2016-09-28,-17.3913
2016-09-29,0.8772
2016-09-30,2.5761
2016-10-03,1.6213
2016-10-04,-24.9218
2016-10-05,-22.2222
2016-10-06,37.1429
2016-10-07,4.1667
