ticker,GRIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-13,-22.8
2020-02-14,2.3316
2020-02-18,2.7848
2020-02-19,-9.8522
2020-02-20,0.8197
2020-02-21,0.271
2020-02-24,-1.3514
2020-02-25,5.7534
2020-02-26,-4.1451
2020-02-27,17.027
2020-02-28,-5.7737
2020-03-02,-24.5392
2020-03-03,10.1078
2020-03-04,3.2448
2020-03-05,-3.7143
2020-03-06,-3.8576
2020-03-09,-13.2716
2020-03-10,8.5409
2020-03-11,-5.2459
2020-03-12,-15.2249
2020-03-13,-10.6122
2020-03-16,8.6758
2020-03-17,40.7563
2020-03-18,7.4627
2020-03-19,-23.3333
2020-03-20,-16.6667
2020-03-23,-10.8696
2020-03-24,-5.3659
2020-03-25,0.5155
2020-03-26,15.3846
2020-03-27,-13.3333
2020-03-30,-2.5641
2020-03-31,-12.6316
2020-04-01,2.4096
2020-04-02,-2.9412000000000003
2020-04-03,-4.8485
2020-04-06,10.828
2020-04-07,-0.5747
2020-04-08,-1.7341
2020-04-09,-2.9412000000000003
2020-04-13,1.8182
2020-04-14,3.5714
2020-04-15,16.092
2020-04-16,-4.4554
2020-04-17,-5.6995000000000005
2020-04-20,2.7473
2020-04-21,-2.1390000000000002
2020-04-22,-1.0929
2020-04-23,0.5525
2020-04-24,-1.6484
2020-04-27,-3.352
2020-04-28,1.1561
2020-04-29,2.8571
2020-04-30,6.6667
2020-05-01,-8.3333
2020-05-04,6.25
2020-05-05,-5.8824
2020-05-06,-1.1364
2020-05-07,3.4483
2020-05-08,3.3333
2020-05-11,-4.371
2020-05-12,5.8413
2020-05-13,-2.624
2020-05-14,-3.993
2020-05-15,2.267
2020-05-18,16.1898
2020-05-19,-3.4093999999999998
2020-05-20,-5.4455
2020-05-21,1.0471
2020-05-22,-0.5181
2020-05-26,0.0
2020-05-27,6.25
2020-05-28,-3.9215999999999998
2020-05-29,-1.4184
2020-06-01,5.0668
2020-06-02,8.8616
2020-06-03,0.4525
2020-06-04,-1.8018
2020-06-05,4.211
2020-06-08,10.0449
2020-06-09,-7.54
2020-06-10,-2.228
2020-06-11,8.8496
2020-06-12,-11.8577
2020-06-15,6.5351
2020-06-16,13.8528
2020-06-17,-6.8441
2020-06-18,2.0408
2020-06-19,-10.8
2020-06-22,3.1390000000000002
2020-06-23,17.8261
2020-06-24,-9.5941
2020-06-25,9.3878
2020-06-26,-3.3582
2020-06-29,0.7722
2020-06-30,3.8314
2020-07-01,-0.369
2020-07-02,-1.4815
2020-07-06,0.0
2020-07-07,-6.7669
2020-07-08,-2.8226
2020-07-09,8.2988
2020-07-10,-1.9157
2020-07-13,-8.2031
2020-07-14,-4.2553
2020-07-15,6.2222
2020-07-16,-2.5105
2020-07-17,2.5751
2020-07-20,-1.2551999999999999
2020-07-21,2.1186
2020-07-22,-0.4149
2020-07-23,-2.9167
2020-07-24,-3.8627000000000002
2020-07-27,0.4464
2020-07-28,0.0
2020-07-29,-7.1111
2020-07-30,11.0048
2020-07-31,-8.6207
