ticker,HUN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-11,6.5217
2005-02-14,0.0
2005-02-15,4.4898
2005-02-16,1.4453
2005-02-17,-0.4621
2005-02-18,2.1277
2005-02-22,-0.6818
2005-02-23,2.5553
2005-02-24,5.3552
2005-02-25,0.6001
2005-02-28,0.2105
2005-03-01,-1.2605
2005-03-02,-0.0709
2005-03-03,-0.6388
2005-03-04,0.7143
2005-03-07,-0.5319
2005-03-08,-1.7825
2005-03-09,0.1815
2005-03-10,-1.2681
2005-03-11,1.0275
2005-03-14,-2.1794000000000002
2005-03-15,-1.7452999999999999
2005-03-16,-3.6659
2005-03-17,2.5893
2005-03-18,-2.2945
2005-03-21,-2.5049
2005-03-22,2.3685
2005-03-23,-2.1569
2005-03-24,-3.1663
2005-03-28,-1.7798
2005-03-29,-2.1913
2005-03-30,-1.9819
2005-03-31,2.5055
2005-04-01,0.2573
2005-04-04,-1.1976
2005-04-05,-2.6407
2005-04-06,-2.1787
2005-04-07,2.5
2005-04-08,-0.7982
2005-04-11,-0.0894
2005-04-12,0.8949
2005-04-13,-1.4191
2005-04-14,-3.8237
2005-04-15,-2.0112
2005-04-18,-2.4344
2005-04-19,3.5714
2005-04-20,-4.2041
2005-04-21,4.5365
2005-04-22,-5.6132
2005-04-25,7.1964
2005-04-26,-2.0979
2005-04-27,-3.2381
2005-04-28,-0.6398
2005-04-29,4.21
2005-05-02,2.6616
2005-05-03,2.5926
2005-05-04,3.8809
2005-05-05,-0.2606
2005-05-06,-0.9146
2005-05-09,1.978
2005-05-10,-2.1552
2005-05-11,-3.0837
2005-05-12,-2.6364
2005-05-13,-5.5556
2005-05-16,-5.5858
2005-05-17,-1.466
2005-05-18,2.5505
2005-05-19,1.1399
2005-05-20,-1.8443
2005-05-23,0.3132
2005-05-24,-2.0291
2005-05-25,-1.1683
2005-05-26,-0.7523
2005-05-27,1.7325
2005-05-31,2.4481
2005-06-01,-1.1948
2005-06-02,-0.4206
2005-06-03,-1.056
2005-06-06,0.0
2005-06-07,-1.0139
2005-06-08,0.5391
2005-06-09,0.8043
2005-06-10,0.5319
2005-06-13,1.3228
2005-06-14,3.2376
2005-06-15,2.1244
2005-06-16,1.6840000000000002
2005-06-17,-3.6532
2005-06-20,-1.6684
2005-06-21,-2.6221
2005-06-22,1.2671999999999999
2005-06-23,1.8248
2005-06-24,-1.4849
2005-06-27,0.6757
2005-06-28,4.3882
2005-06-29,0.0989
2005-06-30,0.1482
2005-07-01,0.6907
