ticker,DDRIQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-23,-79.6954
2013-04-24,0.0
2013-06-21,0.0
2013-07-26,10.0
2013-08-08,9.0909
2013-08-29,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,-4.1667
2013-10-11,0.0
2013-10-18,-39.1304
2013-10-21,68.5714
2013-10-22,0.0
2013-10-23,-1.6949
2013-10-24,1.7241
2013-10-28,-1.6949
2013-11-15,-5.1724
2013-11-18,-36.3636
2013-11-19,42.8571
2013-11-22,30.0
2013-11-25,-5.3846
2013-11-26,0.0
2013-11-27,-0.813
2013-11-29,2.459
2013-12-06,4.0
2013-12-09,0.0
2013-12-10,-2.3077
2013-12-11,2.3622
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,-3.0769
2013-12-23,3.1746
2014-01-02,0.0
2014-01-13,-3.8462
2014-01-15,4.0
2014-01-30,0.0
2014-01-31,0.0
2014-02-04,-3.8462
2014-02-07,-2.4
2014-02-10,6.5574
2014-02-21,-3.0769
2014-02-27,-3.1746
2014-03-18,-5.7377
2014-03-19,7.8261
2014-03-24,-19.3548
2014-03-25,125.0
2014-03-26,-65.1111
2014-03-27,27.3885
2014-03-28,-10.0
2014-03-31,-11.1111
2014-04-01,0.0
2014-04-03,0.0
2014-04-10,20.0
2014-04-11,25.0
2014-04-14,-15.8333
2014-04-16,3.9604
2014-04-17,-4.7619
2014-04-22,5.0
2014-04-28,14.2857
2014-05-02,4.1667
2014-05-06,0.0
2014-05-12,8.0
2014-05-13,-7.4074
2014-05-15,-3.2
2014-05-16,-4.9587
2014-05-20,12.1739
2014-05-21,-3.1008
2014-05-22,-12.0
2014-05-28,0.0
2014-05-29,0.0
2014-06-03,0.0
2014-06-12,0.0
2014-06-16,0.0
2014-06-17,8.1818
2014-06-18,5.042
2014-06-19,-4.0
2014-06-23,4.1667
2014-06-24,-4.0
2014-06-25,8.3333
2014-06-26,7.6923
2014-07-01,-7.1429
2014-07-03,0.0
2014-07-08,0.0
2014-07-09,7.6923
2014-07-10,0.0
2014-07-16,-14.2857
2014-07-18,0.0
2014-07-21,4.1667
2014-07-23,12.0
2014-07-25,7.1429
2014-07-30,-0.6667
2014-07-31,-8.7248
2014-08-01,-11.7647
2014-08-07,16.6667
2014-08-12,2.8571
2014-08-18,-2.7778
2014-09-08,0.0
2014-09-11,-14.2857
2014-09-19,-7.5
2014-09-22,30.6306
2014-10-02,0.0
2014-10-21,-24.1379
