ticker,HCKT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0146
2000-01-04,-5.5133
2000-01-05,10.664
2000-01-06,-6.5455
2000-01-07,-0.7782
2000-01-10,3.5294
2000-01-11,-3.0303
2000-01-12,-0.1953
2000-01-13,9.9804
2000-01-14,3.2028
2000-01-18,-2.5862
2000-01-19,3.7168
2000-01-20,3.5836
2000-01-21,-0.4942
2000-01-24,1.9868000000000001
2000-01-25,-0.6494
2000-01-26,2.9412000000000003
2000-01-27,-3.1746
2000-01-28,-8.5246
2000-01-31,-6.6308
2000-02-01,0.9597
2000-02-02,1.9011
2000-02-03,-0.7463
2000-02-04,0.3759
2000-02-07,4.4944
2000-02-08,-0.3584
2000-02-09,0.0
2000-02-10,-2.6978
2000-02-11,-7.9482
2000-02-14,1.6064
2000-02-15,-8.8933
2000-02-16,-7.5922
2000-02-17,0.0
2000-02-18,-2.8169
2000-02-22,-13.0435
2000-02-23,7.2222
2000-02-24,2.5907
2000-02-25,-15.9091
2000-02-28,-0.6006
2000-02-29,-1.5106000000000002
2000-03-01,20.2454
2000-03-02,7.6531
2000-03-03,16.3507
2000-03-06,-2.0367
2000-03-07,3.5343
2000-03-08,-6.2249
2000-03-09,1.2848
2000-03-10,-10.3594
2000-03-13,-5.6604
2000-03-14,2.0
2000-03-15,-2.451
2000-03-16,11.5578
2000-03-17,-2.4775
2000-03-20,0.2309
2000-03-21,4.6083
2000-03-22,-2.2026
2000-03-23,-3.6036
2000-03-24,3.5047
2000-03-27,-2.4831
2000-03-28,4.6296
2000-03-29,-7.9646
2000-03-30,-8.6538
2000-03-31,2.8947000000000003
2000-04-03,-10.9974
2000-04-04,-5.1724
2000-04-05,20.0
2000-04-06,-0.7576
2000-04-07,14.5038
2000-04-10,-4.4444
2000-04-11,-12.5581
2000-04-12,-9.5745
2000-04-13,-1.1764999999999999
2000-04-14,-13.9881
2000-04-17,4.4983
2000-04-18,5.6291
2000-04-19,16.9279
2000-04-20,-8.5791
2000-04-24,-5.2786
2000-04-25,9.5975
2000-04-26,-8.4746
2000-04-27,1.2346
2000-04-28,-6.0976
2000-05-01,2.5974
2000-05-02,-8.8608
2000-05-03,6.25
2000-05-04,0.3268
2000-05-05,-0.3257
2000-05-08,-3.5948
2000-05-09,-3.0508
2000-05-10,-9.7902
2000-05-11,6.2016
2000-05-12,-6.9343
2000-05-15,2.3529
2000-05-16,1.5326
2000-05-17,-3.7736
2000-05-18,0.0
2000-05-19,-5.098
