ticker,CZBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-07-09,0.0
2002-06-04,-2.9412000000000003
2003-02-07,3.0303
2003-02-21,1.4706000000000001
2003-03-03,-7.2464
2003-03-04,5.9375
2003-03-10,1.7699
2003-03-12,-7.2464
2003-03-14,0.0
2003-03-17,0.0
2003-03-18,3.4375
2003-03-19,-0.3021
2003-03-21,-4.5455
2003-03-25,3.1746
2003-03-31,-1.5385
2003-04-04,0.0
2003-04-16,0.0
2003-04-21,0.0
2003-04-28,1.5625
2003-04-30,0.0
2003-05-07,-3.0769
2003-05-12,6.3492
2003-05-13,-4.0597
2003-05-14,-0.1245
2003-05-19,-0.3115
2003-05-23,0.0
2003-05-28,3.125
2003-05-29,0.0
2003-05-30,0.0
2003-06-20,-7.5758
2003-06-24,-2.623
2003-06-27,11.1111
2003-07-09,-2.4242
2003-07-11,2.4845
2003-07-18,0.0
2003-07-21,-3.0303
2003-07-22,0.0
2003-07-29,0.0
2003-07-30,0.0
2003-08-01,-1.5625
2003-08-20,-3.1746
2003-08-26,-0.3279
2003-08-29,-1.3158
2003-09-03,3.3333
2003-09-04,1.9355
2003-09-10,1.2658
2003-09-12,0.0
2003-09-16,0.0
2003-09-18,0.0
2003-09-23,-6.25
2003-09-25,3.3333
2003-09-30,-1.6129
2003-10-06,1.6393
2003-10-08,0.0
2003-10-09,2.5806
2003-10-13,-2.5157
2003-10-24,4.8387
2003-11-04,-1.5385
2003-11-07,4.6875
2003-11-14,-1.4925
2003-11-21,4.5455
2003-12-03,-4.3478
2003-12-05,0.0
2003-12-15,1.5152
2003-12-22,0.0
2003-12-30,-1.4925
2003-12-31,0.0
2004-01-05,0.0
2004-01-08,-0.9091
2004-01-12,2.4465
2004-01-21,-2.9851
2004-01-22,0.9231
2004-01-26,2.1341
2004-02-02,0.0
2004-02-04,0.0
2004-02-20,-2.9851
2004-03-01,-1.5385
2004-03-02,6.25
2004-03-04,0.0
2004-03-16,2.9412000000000003
2004-03-19,2.8571
2004-03-26,1.3889
2004-03-29,-1.3699
2004-04-01,1.3889
2004-04-14,-1.3699
2004-04-15,0.0
2004-04-19,1.3889
2004-04-22,-1.3699
2004-04-28,0.0
2004-04-30,2.7778
2004-05-03,-0.0541
2004-05-11,0.8174
2004-05-14,-2.7027
2004-05-21,0.0
2004-05-24,0.0
2004-05-28,1.3889
2004-06-14,1.3699
2004-06-22,6.2092
2004-07-06,0.0
2004-07-08,0.0
2004-07-12,0.0
2004-07-16,0.0
