ticker,PCST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-18,-1.9607999999999999
2011-07-29,-10.0
2011-12-29,22.2222
2012-04-24,-7.2727
2012-08-21,0.0
2013-07-11,-50.9804
2014-03-31,60.0
2014-05-12,0.0
2014-05-23,0.0
2014-10-14,0.0
2015-04-08,-25.0
2016-02-22,0.0
2016-02-23,0.0
2017-06-28,50.0
2017-08-03,13.3333
2017-08-04,47.0588
2017-08-10,-20.0
2017-08-11,25.0
2017-08-16,0.0
2017-10-13,-20.0
2017-10-20,-8.3333
2017-10-25,-18.1818
2017-10-31,0.0
2017-11-06,-22.2222
2017-12-27,14.2857
2018-02-28,25.0
2018-03-06,0.0
2018-03-28,10.0
2018-04-05,0.0
2018-05-01,0.0
2018-05-24,-27.2727
2018-06-04,37.5
2018-07-11,0.0
2018-08-29,0.0
2018-08-31,9.0909
2018-10-03,0.0
2018-10-26,-15.0
2018-11-14,0.0
2019-02-25,-50.5882
2019-02-27,0.0
2019-05-15,118.254
2019-05-16,45.4545
2019-05-20,-56.25
2019-05-21,68.5714
2019-05-22,-18.4746
2019-05-23,-44.2804
2019-05-28,6.0927
2019-06-05,9.8627
2019-07-22,13.6364
2019-09-18,0.0
2019-10-31,150.0
2019-11-01,-50.0
2019-11-26,4.0
2020-01-22,15.3846
2020-03-16,8.3333
2020-03-25,-7.6923
2020-06-10,70.0
2020-07-07,-1.9607999999999999
2020-07-28,-40.0
