ticker,LPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-15,6.4706
2011-12-16,3.8674
2011-12-19,-2.9255
2011-12-20,3.8356
2011-12-21,4.6438
2011-12-22,-1.3616
2011-12-23,0.5624
2011-12-27,2.6945
2011-12-28,2.6238
2011-12-29,1.2542
2011-12-30,6.2411
2012-01-03,-0.3587
2012-01-04,-0.315
2012-01-05,-2.0316
2012-01-06,0.1382
2012-01-09,-2.347
2012-01-10,-0.1414
2012-01-11,-0.4719
2012-01-12,-1.1854
2012-01-13,0.3359
2012-01-17,1.3869
2012-01-18,-0.9906
2012-01-19,0.7146
2012-01-20,-0.0946
2012-01-23,5.4451
2012-01-24,-2.8289
2012-01-25,1.8022
2012-01-26,-0.2724
2012-01-27,0.5917
2012-01-30,0.543
2012-01-31,-0.27
2012-02-01,1.1282
2012-02-02,4.5069
2012-02-03,2.9462
2012-02-06,1.742
2012-02-07,0.2446
2012-02-08,-0.0407
2012-02-09,-0.5696
2012-02-10,3.1097
2012-02-13,3.8889
2012-02-14,0.0764
2012-02-15,0.229
2012-02-16,1.2947
2012-02-17,-3.5338000000000003
2012-02-21,3.0008
2012-02-22,-4.1241
2012-02-23,1.4601
2012-02-24,3.3839
2012-02-27,0.8277
2012-02-28,-3.9925
2012-02-29,-1.3991
2012-03-01,-0.8277
2012-03-02,0.1192
2012-03-05,-3.6522
2012-03-06,-5.3152
2012-03-07,0.3481
2012-03-08,0.477
2012-03-09,3.4527
2012-03-12,-1.5436
2012-03-13,0.4237
2012-03-14,1.9830999999999999
2012-03-15,2.6893000000000002
2012-03-16,1.2893
2012-03-19,2.1082
2012-03-20,-0.9349
2012-03-21,-3.3818
2012-03-22,-2.442
2012-03-23,5.34
2012-03-26,-4.5941
2012-03-27,-5.4795
2012-03-28,-2.8986
2012-03-29,0.588
2012-03-30,5.3957
2012-04-02,2.0478
2012-04-03,3.7207
2012-04-04,-1.2898
2012-04-05,-0.2858
2012-04-09,-1.8837000000000002
2012-04-10,-0.7513
2012-04-11,0.0
2012-04-12,0.7569
2012-04-13,-1.0851
2012-04-16,0.211
2012-04-17,6.6947
2012-04-18,-2.4862
2012-04-19,0.3238
2012-04-20,1.9363000000000001
2012-04-23,-3.6010999999999997
2012-04-24,0.1642
2012-04-25,3.4016
2012-04-26,1.625
2012-04-27,-0.273
2012-04-30,3.3242
2012-05-01,0.7949
2012-05-02,-4.2058
2012-05-03,-3.2928
2012-05-04,-3.2833
2012-05-07,-2.347
2012-05-08,-3.2618
