ticker,IONS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.0
2000-01-04,1.0638
2000-01-05,16.8421
2000-01-06,-1.8018
2000-01-07,6.422
2000-01-10,7.7586
2000-01-11,-3.2
2000-01-12,34.7107
2000-01-13,-9.2025
2000-01-14,-6.0811
2000-01-18,-11.5108
2000-01-19,-2.439
2000-01-20,-0.8333
2000-01-21,-1.6806999999999999
2000-01-24,5.1282
2000-01-25,-1.2195
2000-01-26,-0.4115
2000-01-27,9.0909
2000-01-28,-5.303
2000-01-31,0.0
2000-02-01,7.2
2000-02-02,-5.2239
2000-02-03,5.5118
2000-02-04,1.4925
2000-02-07,14.7059
2000-02-08,0.0
2000-02-09,2.5641
2000-02-10,11.25
2000-02-11,-1.6854
2000-02-14,2.8571
2000-02-15,-1.6667
2000-02-16,3.9548
2000-02-17,8.6957
2000-02-18,11.5
2000-02-22,-7.1749
2000-02-23,-1.4493
2000-02-24,0.4902
2000-02-25,-1.4634
2000-02-28,-3.4653
2000-02-29,15.8974
2000-03-01,13.2743
2000-03-02,13.2813
2000-03-03,34.4828
2000-03-06,38.7179
2000-03-07,-16.6359
2000-03-08,-9.5344
2000-03-09,-5.8824
2000-03-10,0.0
2000-03-13,-9.1146
2000-03-14,-15.4728
2000-03-15,-4.7458
2000-03-16,0.7117
2000-03-17,-6.0071
2000-03-20,-8.6466
2000-03-21,-0.4115
2000-03-22,22.314
2000-03-23,-4.0541
2000-03-24,-2.4648
2000-03-27,-5.4152000000000005
2000-03-28,-9.1603
2000-03-29,-6.3025
2000-03-30,0.4484
2000-03-31,0.4464
2000-04-03,-3.5556
2000-04-04,-8.7558
2000-04-05,12.6263
2000-04-06,7.6233
2000-04-07,3.75
2000-04-10,-9.2369
2000-04-11,-7.5221
2000-04-12,0.0
2000-04-13,-5.2632
2000-04-14,-15.1515
2000-04-17,-5.9524
2000-04-18,15.1899
2000-04-19,-6.5934
2000-04-20,0.0
2000-04-24,8.2353
2000-04-25,-3.8043
2000-04-26,-3.9548
2000-04-27,-1.1764999999999999
2000-04-28,5.9524
2000-05-01,10.6742
2000-05-02,-6.599
2000-05-03,-4.8913
2000-05-04,5.1429
2000-05-05,-0.5435
2000-05-08,-3.8251
2000-05-09,-2.2727
2000-05-10,-6.3953
2000-05-11,1.8634
2000-05-12,0.6098
2000-05-15,0.6061
2000-05-16,7.2289
2000-05-17,-3.9326
2000-05-18,0.1462
2000-05-19,-2.4818
2000-05-22,-8.982
2000-05-23,-5.2632
