ticker,CPSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-05-21,9.818200000000001
2002-05-22,0.7174
2002-05-23,1.6438000000000001
2002-05-24,1.779
2002-05-28,1.4301
2002-05-29,-1.8277
2002-05-30,-0.266
2002-05-31,0.0
2002-06-03,-0.7947
2002-06-04,-0.1667
2002-06-05,-0.377
2002-06-06,1.027
2002-06-07,0.107
2002-06-10,0.0534
2002-06-11,0.9615
2002-06-12,0.5291
2002-06-13,0.7368
2002-06-14,-0.3657
2002-06-17,6.1877
2002-06-18,0.2469
2002-06-19,4.335
2002-06-20,-1.7941
2002-06-21,-0.2885
2002-06-24,-1.109
2002-06-25,2.8766
2002-06-26,1.891
2002-06-27,4.656
2002-06-28,-4.3111
2002-07-01,-5.3878
2002-07-02,-9.1802
2002-07-03,1.8919000000000001
2002-07-05,5.6233
2002-07-08,2.2099
2002-07-09,-1.4693
2002-07-10,-4.8925
2002-07-11,-1.4683
2002-07-12,3.9915000000000003
2002-07-15,2.3541
2002-07-16,0.0
2002-07-17,0.0
2002-07-18,-1.05
2002-07-19,-1.4654
2002-07-22,-6.6103
2002-07-23,3.454
2002-07-24,4.2463
2002-07-25,1.4766
2002-07-26,0.3512
2002-07-29,5.35
2002-07-30,2.2307
2002-07-31,2.5534
2002-08-01,5.4323
2002-08-02,-5.1095
2002-08-05,-5.1584
2002-08-06,-4.4847
2002-08-07,-0.0999
2002-08-08,5.1
2002-08-09,-1.4748
2002-08-12,-2.366
2002-08-13,0.4451
2002-08-14,3.3481
2002-08-15,-1.0481
2002-08-16,0.7222
2002-08-19,3.9196999999999997
2002-08-20,0.0
2002-08-21,-2.5759
2002-08-22,-4.8159
2002-08-23,2.7778
2002-08-26,-0.3861
2002-08-27,-0.3391
2002-08-28,9.3826
2002-08-29,1.1111
2002-08-30,7.3846
2002-09-03,-1.7601
2002-09-04,2.0833
2002-09-05,-0.4
2002-09-06,2.0408
2002-09-09,-5.2209
2002-09-10,-6.3559
2002-09-11,1.5836999999999999
2002-09-12,1.5590000000000002
2002-09-13,2.1491
2002-09-16,-5.2383
2002-09-17,-0.3172
2002-09-18,1.5455
2002-09-19,0.0448
2002-09-20,2.0134
2002-09-23,0.1464
2002-09-24,-1.8542
2002-09-25,-1.6555
2002-09-26,-4.6690000000000005
2002-09-27,2.3322
2002-09-30,-0.5581
2002-10-01,3.9757
2002-10-02,-0.7647
2002-10-03,-4.8051
2002-10-04,2.8238
2002-10-07,-1.0652
2002-10-08,1.9941
