ticker,SKYW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.3438
2000-01-04,-1.6358000000000001
2000-01-05,3.1042
2000-01-06,4.3011
2000-01-07,4.9485
2000-01-10,4.1257
2000-01-11,-0.3774
2000-01-12,-6.8182
2000-01-13,1.8293
2000-01-14,-1.7964
2000-01-18,2.2358000000000002
2000-01-19,3.7773
2000-01-20,-1.5326
2000-01-21,-1.1673
2000-01-24,-5.315
2000-01-25,-6.237
2000-01-26,-1.1086
2000-01-27,-0.6726
2000-01-28,-0.6772
2000-01-31,1.3636
2000-02-01,4.2600999999999996
2000-02-02,-1.7204000000000002
2000-02-03,-0.6565
2000-02-04,3.6344
2000-02-07,-1.3815
2000-02-08,0.8621
2000-02-09,0.8547
2000-02-10,0.8475
2000-02-11,-1.6806999999999999
2000-02-14,-0.4274
2000-02-15,-3.8627000000000002
2000-02-16,-0.8929
2000-02-17,6.0811
2000-02-18,0.6369
2000-02-22,-2.9536
2000-02-23,-1.7391
2000-02-24,4.4248
2000-02-25,-5.9322
2000-02-28,3.6036
2000-02-29,3.2609
2000-03-01,0.6316
2000-03-02,-7.9498
2000-03-03,8.8636
2000-03-06,-1.6701000000000001
2000-03-07,-1.6985000000000001
2000-03-08,7.5594
2000-03-09,-1.4056
2000-03-10,3.055
2000-03-13,-1.581
2000-03-14,-1.6064
2000-03-15,1.0204
2000-03-16,8.2828
2000-03-17,-8.209
2000-03-20,-1.8293
2000-03-21,1.4493
2000-03-22,-3.7755
2000-03-23,2.2269
2000-03-24,10.166
2000-03-27,-1.6949
2000-03-28,7.2797
2000-03-29,1.5429
2000-03-30,4.5775
2000-03-31,5.3872
2000-04-03,-3.6741
2000-04-04,5.4726
2000-04-05,0.6289
2000-04-06,2.3437
2000-04-07,-2.4427
2000-04-10,1.7214
2000-04-11,7.0
2000-04-12,-0.647
2000-04-13,-0.5789
2000-04-14,-5.3857
2000-04-17,-4.0
2000-04-18,2.6042
2000-04-19,2.46
2000-04-20,5.1829
2000-04-24,7.8261
2000-04-25,-8.0645
2000-04-26,-0.4386
2000-04-27,0.7342
2000-04-28,-1.7492999999999999
2000-05-01,1.7804
2000-05-02,-1.895
2000-05-03,-2.8232
2000-05-04,3.9755000000000003
2000-05-05,2.3529
2000-05-08,-7.6149000000000004
2000-05-09,0.1555
2000-05-10,0.7764
2000-05-11,4.4684
2000-05-12,-10.0295
2000-05-15,-0.3279
2000-05-16,1.3158
2000-05-17,-2.4351
2000-05-18,0.9983
