ticker,PXYN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-10,50.0
2007-09-13,-33.3333
2007-09-19,150.0
2007-09-20,-33.3333
2007-09-21,-40.0
2007-09-27,16.6667
2007-10-01,185.7143
2007-10-02,5.0
2007-10-03,19.0476
2007-10-05,-40.0
2007-10-15,0.0
2007-10-16,-20.0
2007-10-22,0.0
2007-11-08,50.0
2007-11-19,11.1111
2007-11-21,0.0
2007-12-05,0.0
2007-12-06,-25.0
2007-12-12,20.0
2007-12-13,-16.6667
2007-12-24,0.0
2008-01-09,-20.0
2008-01-10,0.0
2008-01-11,-16.6667
2008-01-14,0.0
2008-01-15,-20.0
2008-01-17,25.0
2008-01-18,150.0
2008-01-22,-52.0
2008-01-23,66.6667
2008-01-28,25.0
2008-01-29,40.0
2008-02-04,-14.2857
2008-02-05,16.6667
2008-02-06,45.7143
2008-02-20,0.0
2008-03-07,-21.5686
2008-03-10,-12.5
2008-03-11,0.0
2008-03-13,5.7143
2008-03-14,8.1081
2008-03-19,-10.0
2008-03-20,2.7778
2008-03-24,8.1081
2008-03-26,12.5
2008-03-27,-22.2222
2008-03-31,14.2857
2008-04-01,0.0
2008-04-02,-37.5
2008-04-04,20.0
2008-04-18,16.6667
2008-04-24,-5.7143
2008-05-22,-33.3333
2008-05-23,59.0909
2008-06-18,-68.5714
2008-06-19,0.0
2008-06-20,81.8182
2008-06-23,-5.0
2008-06-25,52.6316
2008-06-26,3.4483
2008-07-02,-33.3333
2008-07-03,60.0
2008-07-14,-31.25
2008-07-15,-31.8182
2008-07-16,33.3333
2008-07-28,-10.0
2008-07-29,77.7778
2008-09-12,-50.0
2008-09-15,6.25
2008-09-19,-11.7647
2008-09-23,33.3333
2008-09-24,35.0
2008-09-25,3.7037
2008-09-29,-3.5714
2008-10-06,-7.4074
2008-10-07,0.0
2008-10-08,8.0
2008-10-09,0.0
2008-10-13,-14.8148
2008-12-16,-56.5217
2008-12-17,220.0
2008-12-22,-68.4375
2008-12-23,-20.7921
2008-12-24,25.0
2008-12-29,160.0
2008-12-30,-30.7692
2008-12-31,-2.7778
2009-01-02,2.8571
2009-01-08,50.0
2009-01-15,-51.8519
2009-01-16,92.3077
2009-02-02,-28.0
2009-02-23,-16.6667
2009-03-12,20.0
2009-03-26,0.0
2009-03-27,38.8889
2009-04-03,-4.0
2009-04-08,4.1667
2009-04-14,0.0
2009-10-20,0.0
2009-10-21,0.0
2009-10-23,0.0
2009-10-27,0.0
2009-10-29,0.0
