ticker,CABT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-19,0.0
2018-12-21,-4.1096
2018-12-31,7.1429
2019-02-12,-1.3333
2019-02-13,0.0
2019-03-11,-4.0541
2019-03-27,3.0986
2019-03-29,0.1366
2019-04-09,0.0
2019-05-02,-4.502
2019-05-03,5.0
2019-05-08,-4.4898
2019-05-23,0.2849
2019-05-24,0.0
2019-05-31,0.0
2019-06-07,4.4033999999999995
2019-06-21,-4.6259
2019-06-24,0.5706
2019-06-28,-0.7092
2019-07-02,0.0
2019-07-29,0.0
2019-09-06,-3.5714
2019-09-09,-1.4815
2019-09-18,1.5038
2019-09-23,-2.963
2019-09-25,5.3435
2019-09-27,-5.7971
2019-10-11,-3.0769
2019-10-28,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-18,3.1746
2019-12-05,-0.7692
2019-12-06,0.7752
2019-12-09,0.7692
2019-12-18,1.5267
2019-12-20,1.5038
2020-01-21,3.7037
2020-01-22,0.0
2020-01-24,-2.1429
2020-01-31,5.8394
2020-02-04,0.6897
2020-02-05,0.0
2020-02-13,0.0
2020-02-20,-2.0548
2020-03-20,-44.7552
2020-03-26,51.8987
2020-04-03,8.3333
2020-04-13,0.0
2020-04-17,4.7692
2020-04-29,-1.6153
2020-04-30,-2.9851
2020-05-06,-3.8462
2020-05-07,-0.8
2020-05-11,-1.6129
2020-05-19,0.0
2020-05-22,0.0
2020-06-17,6.5574
2020-06-18,0.0
2020-06-24,0.0
2020-06-30,3.8462
