ticker,ITGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-29,42.9687
2000-10-02,-2.1858
2000-10-03,9.4972
2000-10-04,-6.8878
2000-10-05,-3.5616
2000-10-06,0.5682
2000-10-09,-1.6949
2000-10-10,0.5747
2000-10-11,5.4286
2000-10-12,0.0
2000-10-13,3.794
2000-10-16,24.8042
2000-10-17,-2.9289
2000-10-18,-2.8017
2000-10-19,-4.2129
2000-10-20,-11.1111
2000-10-23,2.8646000000000003
2000-10-24,0.2532
2000-10-25,0.0
2000-10-26,9.0909
2000-10-27,-5.5556
2000-10-30,-1.9607999999999999
2000-10-31,-4.0
2000-11-01,-6.25
2000-11-02,-0.2778
2000-11-03,11.1421
2000-11-06,7.0175
2000-11-07,1.171
2000-11-08,0.2315
2000-11-09,2.7714
2000-11-10,-3.3708
2000-11-13,-2.093
2000-11-14,-1.6627
2000-11-15,0.4831
2000-11-16,0.0
2000-11-17,-8.6538
2000-11-20,1.0526
2000-11-21,0.7812
2000-11-22,-0.7752
2000-11-27,-2.6042
2000-11-28,1.6042999999999998
2000-11-29,1.5789
2000-11-30,-0.7772
2000-12-01,2.3499
2000-12-04,6.6327
2000-12-05,1.1962
2000-12-06,1.182
2000-12-07,0.4673
2000-12-08,-0.4651
2000-12-11,-3.7382999999999997
2000-12-12,0.4854
2000-12-13,0.4831
2000-12-14,-0.7212
2000-12-15,0.0
2000-12-18,2.6634
2000-12-19,2.8302
2000-12-20,2.2936
2000-12-21,-3.1390000000000002
2000-12-22,0.9259
2000-12-26,1.3761
2000-12-27,2.7149
2000-12-28,0.4405
2000-12-29,-0.8772
2001-01-02,-1.7699
2001-01-03,-3.8288
2001-01-04,-2.5761
2001-01-05,-7.2115
2001-01-08,-9.0674
2001-01-09,0.2849
2001-01-10,-2.2727
2001-01-11,2.907
2001-01-12,-0.565
2001-01-16,-0.2841
2001-01-17,0.0
2001-01-18,0.0
2001-01-19,-1.9943
2001-01-22,0.2907
2001-01-23,-0.2899
2001-01-24,-0.5814
2001-01-25,-2.0468
2001-01-26,0.8955
2001-01-29,0.355
2001-01-30,-0.9906
2001-01-31,1.6675
2001-02-01,-2.9991
2001-02-02,1.401
2001-02-05,-1.6675
2001-02-06,-1.1628
2001-02-07,0.4412
2001-02-08,2.001
2001-02-09,-5.2632
2001-02-12,0.7576
2001-02-13,1.3033000000000001
2001-02-14,4.1564
2001-02-15,4.9881
2001-02-16,-0.4525
2001-02-20,0.0
2001-02-21,0.0
2001-02-22,2.0455
