ticker,CPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-26,4.7619
2010-05-27,4.5455
2010-05-28,3.6231999999999998
2010-06-01,0.0
2010-06-02,-3.4685
2010-06-03,-0.029
2010-06-04,-1.4493
2010-06-07,-2.2059
2010-06-08,-0.7519
2010-06-09,0.0
2010-06-11,-1.5152
2010-06-14,1.5385
2010-06-15,3.0303
2010-06-16,-2.9412000000000003
2010-06-18,-0.7576
2010-06-22,0.7634
2010-06-24,-1.5152
2010-06-25,0.0
2010-06-30,0.0
2010-07-01,-10.7692
2010-07-06,1.7241
2010-07-07,1.6949
2010-07-08,3.3333
2010-07-09,-3.2258
2010-07-12,-6.6667
2010-07-13,0.0
2010-07-14,0.8929
2010-07-15,4.4248
2010-07-16,5.0847
2010-07-19,-3.6129
2010-07-20,0.4016
2010-07-21,-0.3333
2010-07-22,2.0067
2010-07-23,4.918
2010-07-26,0.0
2010-07-27,6.25
2010-07-28,-1.4706000000000001
2010-07-29,1.4925
2010-07-30,0.7353
2010-08-02,1.4599
2010-08-03,2.1583
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,-0.7042
2010-08-09,0.0851
2010-08-10,0.3401
2010-08-11,-0.4237
2010-08-12,0.0
2010-08-13,0.0
2010-08-16,0.0
2010-08-17,2.1277
2010-08-18,1.3889
2010-08-19,-2.2
2010-08-20,0.8488
2010-08-23,-0.9722
2010-08-24,-3.9271000000000003
2010-08-25,-0.438
2010-08-26,3.3724
2010-08-27,-1.4184
2010-08-30,2.1583
2010-08-31,3.5211
2010-09-01,-0.6803
2010-09-02,0.0
2010-09-03,0.0
2010-09-07,0.0
2010-09-08,-1.3699
2010-09-09,0.0
2010-09-10,-0.6944
2010-09-13,0.6993
2010-09-15,-0.2778
2010-09-16,0.0
2010-09-17,0.0
2010-09-21,0.2786
2010-09-23,0.6944
2010-09-27,-0.6897
2010-09-28,1.3889
2010-09-29,-1.0959
2010-09-30,0.0
2010-10-01,0.277
2010-10-05,2.2099
2010-10-06,0.0
2010-10-07,1.3514
2010-10-08,0.0
2010-10-11,0.0
2010-10-12,-0.6667
2010-10-13,2.0134
2010-10-14,-0.6579
2010-10-15,0.0
2010-10-18,1.9868000000000001
2010-10-19,-0.9091
2010-10-20,0.9174
2010-10-21,1.2987
2010-10-22,-0.2564
2010-10-25,2.8278
2010-10-26,-0.025
2010-10-27,0.025
2010-10-28,6.25
2010-10-29,0.0
2010-11-01,-3.5294
2010-11-02,2.439
2010-11-03,-1.7856999999999998
