ticker,CHRW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5723
2000-01-04,-3.3546
2000-01-05,-1.3223
2000-01-06,0.5025
2000-01-07,1.3333
2000-01-10,4.4408
2000-01-11,-1.5748
2000-01-12,0.8
2000-01-13,0.9524
2000-01-14,0.6289
2000-01-18,-0.7813
2000-01-19,2.9920999999999998
2000-01-20,-1.0703
2000-01-21,-2.7821
2000-01-24,4.7695
2000-01-25,-1.6692
2000-01-26,0.6173
2000-01-27,-1.9939
2000-01-28,3.9124
2000-01-31,-1.9578
2000-02-01,1.3825
2000-02-02,3.1818
2000-02-03,-0.1468
2000-02-04,0.7353
2000-02-07,1.6058
2000-02-08,1.5805
2000-02-09,8.3451
2000-02-10,-1.436
2000-02-11,-7.6821
2000-02-14,-0.7174
2000-02-15,-3.4682
2000-02-16,2.0958
2000-02-17,-1.173
2000-02-18,-3.2641
2000-02-22,1.8405
2000-02-23,7.6807
2000-02-24,1.2587
2000-02-25,1.4503
2000-02-28,7.8285
2000-02-29,3.0303
2000-03-01,-1.4706000000000001
2000-03-02,-1.1816
2000-03-03,-0.0629
2000-03-06,0.0353
2000-03-07,2.7743
2000-03-08,-0.1227
2000-03-09,-0.9828
2000-03-10,-1.861
2000-03-13,-1.6435
2000-03-14,-5.2699
2000-03-15,-1.3569
2000-03-16,-3.0261
2000-03-17,-5.3901
2000-03-20,-3.7481
2000-03-21,2.3364
2000-03-22,2.4353
2000-03-23,0.0
2000-03-24,-0.1486
2000-03-27,-0.2976
2000-03-28,0.0
2000-03-29,-3.2836
2000-03-30,-2.3148
2000-03-31,-5.8452
2000-04-03,-6.0403
2000-04-04,15.357099999999999
2000-04-05,-2.4768
2000-04-06,2.5397
2000-04-07,7.5851
2000-04-10,-4.0288
2000-04-11,1.0495
2000-04-12,9.1988
2000-04-13,-4.212
2000-04-14,-6.383
2000-04-17,0.1515
2000-04-18,8.9259
2000-04-19,4.2361
2000-04-20,2.3318
2000-04-24,1.8229
2000-04-25,1.1509
2000-04-26,-2.5284
2000-04-27,2.2049
2000-04-28,1.5228000000000002
2000-05-01,0.75
2000-05-02,0.4963
2000-05-03,-6.4198
2000-05-04,2.1108
2000-05-05,7.2351
2000-05-08,-0.4819
2000-05-09,0.3632
2000-05-10,-0.7238
2000-05-11,0.6075
2000-05-12,-0.0604
2000-05-15,-0.0604
2000-05-16,-5.6832
2000-05-17,-6.2821
2000-05-18,-2.8728
2000-05-19,-0.5634
2000-05-22,0.7082
