ticker,MAGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-16,0.0
2006-03-24,-4.5802
2006-03-27,-19.2
2006-03-28,13.8614
2006-03-29,-12.1739
2006-03-30,-40.5941
2006-03-31,-16.6667
2006-04-03,-20.0
2006-04-04,0.0
2006-04-05,-12.5
2006-04-06,0.0
2006-04-10,18.8571
2006-04-11,-3.8462
2006-04-12,-10.0
2006-04-13,11.1111
2006-04-17,12.5
2006-04-18,-11.1111
2006-04-19,0.0
2006-04-21,25.0
2006-04-27,-10.0
2006-04-28,6.6667
2006-05-05,0.0
2006-05-10,-12.5
2006-05-12,7.1429
2006-05-16,0.0
2006-05-18,-31.1111
2006-05-19,-9.6774
2006-05-22,-7.1429
2006-05-23,-3.8462
2006-05-24,-12.0
2006-05-25,-18.1818
2006-05-26,0.0
2006-05-30,-11.1111
2006-05-31,-25.0
2006-06-01,0.0
2006-06-02,0.0
2006-06-05,0.0
2006-06-06,0.0
2006-06-08,0.0
2006-06-09,0.0
2006-06-13,0.0
2006-06-14,0.0
2006-06-15,8.3333
2006-06-20,-15.3846
2006-06-23,0.0
2006-06-29,0.0
2006-06-30,-9.0909
2006-07-03,-10.0
2006-07-06,-22.2222
2006-07-07,14.2857
2006-07-10,-31.25
2006-07-11,-9.0909
2006-07-12,-36.0
2006-07-14,56.25
2006-07-20,-48.0
2006-07-21,15.3846
2006-07-25,-33.3333
2006-07-26,25.0
2006-07-28,20.0
2006-08-03,0.0
2006-08-07,16.6667
2006-08-08,14.2857
2006-08-17,12.5
2006-08-18,22.2222
2006-08-22,0.0
2006-08-29,-27.2727
2006-08-30,0.0
2006-09-06,0.0
2006-09-12,0.0
2006-09-13,-12.5
2006-09-14,14.2857
2006-09-21,0.0
2006-09-25,12.5
2006-09-26,0.0
2006-10-04,0.0
2006-10-11,11.1111
2006-10-16,40.0
2006-10-17,28.5714
2006-10-18,44.4444
2006-10-19,46.1538
2006-10-20,-31.5789
2006-10-24,-15.3846
2006-10-26,0.0
2006-10-31,-18.1818
2006-11-06,-22.2222
2006-11-24,85.7143
2006-11-27,-23.0769
2006-11-28,-10.0
2006-11-29,-22.2222
2006-12-01,85.7143
2006-12-06,0.0
2006-12-12,-30.7692
2006-12-14,55.5556
2006-12-15,7.1429
2006-12-19,-13.3333
2006-12-20,-7.6923
2006-12-21,8.3333
2006-12-22,-42.3077
2006-12-26,-20.0
2006-12-27,-16.6667
2006-12-28,-10.0
2006-12-29,55.5556
2007-01-03,28.5714
