ticker,BHWB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,-1.8182
2000-01-10,1.8519
2000-01-12,1.3636
2000-01-14,-5.8296
2000-01-18,0.0
2000-01-19,-16.1905
2000-01-20,12.5
2000-01-21,-6.8096
2000-01-25,-4.6158
2000-01-27,12.5
2000-02-03,-7.0707
2000-02-04,-2.1739
2000-02-08,-6.6667
2000-02-11,-4.7619
2000-02-14,5.0
2000-02-18,-3.5714
2000-02-22,0.0
2000-02-23,-8.642
2000-02-24,-2.7027
2000-02-25,4.1667
2000-02-28,5.3333
2000-03-01,0.0
2000-03-03,-5.0633
2000-03-06,-4.0
2000-03-08,-5.5556
2000-03-09,2.9412000000000003
2000-03-10,-2.8571
2000-03-13,-1.4706000000000001
2000-03-14,1.4925
2000-03-16,8.8235
2000-03-21,-2.7027
2000-03-23,0.0
2000-03-29,1.3333
2000-04-12,27.7778
2000-04-13,-21.7391
2000-04-20,0.0
2000-04-27,0.0
2000-05-01,0.0
2000-05-02,0.0
2000-05-03,0.0
2000-05-05,-6.9444
2000-05-08,4.4776
2000-05-11,1.4285999999999999
2000-05-15,0.0
2000-05-17,4.2254
2000-05-18,-8.1081
2000-05-24,4.4118
2000-05-25,0.7042
2000-05-26,0.6993
2000-06-01,0.0
2000-06-08,0.0
2000-06-09,2.7778
2000-06-14,10.8108
2000-06-15,-9.7561
2000-06-16,2.7027
2000-06-19,-2.6316
2000-06-22,2.7027
2000-06-23,5.2632
2000-06-28,1.2
2000-06-29,0.0
2000-06-30,2.5
2000-07-07,-2.439
2000-07-10,8.125
2000-07-12,10.9827
2000-07-13,2.0833
2000-07-20,-10.2041
2000-07-25,0.0
2000-07-26,-9.0909
2000-07-27,0.625
2000-07-31,-0.6211
2000-08-04,5.0
2000-08-14,-2.3810000000000002
2000-08-21,7.3171
2000-09-05,-5.6818
2000-09-08,-1.2048
2000-09-18,7.3171
2000-09-20,0.0
2000-09-21,0.0
2000-09-26,-9.0909
2000-09-27,1.2
2000-10-09,0.0
2000-10-11,10.0
2000-10-25,-3.4091
2000-10-30,-3.5294
2000-10-31,-2.439
2000-11-06,0.0
2000-11-09,0.0
2000-11-13,0.0
2000-11-16,3.75
2000-11-17,-6.0241
2000-11-30,0.0
2000-12-04,3.8462
2000-12-06,-3.7037
2000-12-11,0.0
2000-12-15,0.0
2000-12-21,0.0
2000-12-26,0.0
2000-12-28,-0.0519
2001-01-08,-16.8831
2001-01-10,29.6875
