ticker,NNAX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-26,-2.6846
2009-08-24,106.8966
2010-03-31,0.0
2010-04-01,-16.6667
2010-05-07,0.0
2010-05-13,0.0
2010-06-21,-95.6
2010-10-19,2172.7273
2011-02-16,100.0
2015-01-30,0.0
2015-02-10,-65.0
2015-05-05,-65.7143
2015-06-12,941.6667
2015-06-18,-68.0
2015-06-26,0.0
2015-08-14,175.0
2015-11-12,-90.9091
2015-11-13,1150.0
2015-11-16,-12.0
2015-11-17,0.0
2015-11-19,0.0
2015-11-23,7.2727
2015-12-02,-6.7797
2015-12-03,-9.0909
2015-12-04,10.0
2016-02-02,0.0
2016-03-28,-50.0
2016-04-14,-7.2727
2016-04-15,-21.5686
2016-08-05,150.0
2017-06-22,-49.0
2017-08-03,1.9607999999999999
2018-03-29,-9.6154
2018-04-19,0.0
2018-09-17,38.2979
2018-10-30,-10.7692
2018-11-26,-9.4828
2019-01-02,-35.2381
2019-11-04,17.647100000000002
2019-11-06,-20.0
2020-01-17,78.125
2020-02-18,22.807
2020-02-25,-21.4286
2020-04-02,-7.2727
2020-06-09,56.8627
2020-06-10,-25.0
