ticker,VJET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-18,121.5385
2013-10-21,23.0208
2013-10-22,-6.3223
2013-10-23,-11.0274
2013-10-24,14.2906
2013-10-25,1.7185000000000001
2013-10-28,-10.3699
2013-10-29,8.6448
2013-10-30,-2.3332
2013-10-31,4.3798
2013-11-01,-0.3521
2013-11-04,5.0942
2013-11-05,8.77
2013-11-06,5.2035
2013-11-07,-1.8119
2013-11-08,11.995
2013-11-11,13.8945
2013-11-12,-1.9355
2013-11-13,-4.1068999999999996
2013-11-14,8.9397
2013-11-15,12.5763
2013-11-18,15.901
2013-11-19,-15.1528
2013-11-20,-32.4082
2013-11-21,-13.7465
2013-11-22,6.0319
2013-11-25,9.8438
2013-11-26,13.9629
2013-11-27,-8.5542
2013-11-29,-0.1218
2013-12-02,-2.4634
2013-12-03,8.152
2013-12-04,-0.1387
2013-12-05,-2.9868
2013-12-06,-3.4606
2013-12-09,-6.8232
2013-12-10,3.7676
2013-12-11,-5.5229
2013-12-12,1.7862
2013-12-13,0.5052
2013-12-16,-1.7725
2013-12-17,-3.6089
2013-12-18,-0.3353
2013-12-19,-1.2055
2013-12-20,4.6822
2013-12-23,10.1382
2013-12-24,-5.1686
2013-12-26,1.661
2013-12-27,-2.8083
2013-12-30,0.9719
2013-12-31,2.7315
2014-01-02,9.724
2014-01-03,7.9622
2014-01-06,-5.7503
2014-01-07,-2.9257999999999997
2014-01-08,4.2056000000000004
2014-01-09,-1.278
2014-01-10,0.1817
2014-01-13,-2.2217000000000002
2014-01-14,-1.623
2014-01-15,-3.3467000000000002
2014-01-16,-0.8047
2014-01-17,-0.7375
2014-01-21,-3.4918
2014-01-22,1.9759
2014-01-23,-1.6608
2014-01-24,-7.4974
2014-01-27,-0.7192
2014-01-28,-0.0557
2014-01-29,-0.223
2014-01-30,1.5647
2014-01-31,-1.5956000000000001
2014-02-03,-6.9052
2014-02-04,2.1922
2014-02-05,-6.2592
2014-02-06,-1.7241
2014-02-07,3.3493
2014-02-10,7.9321
2014-02-11,4.2036
2014-02-12,-5.461
2014-02-13,-0.9869
2014-02-14,0.9675
2014-02-18,0.6969
2014-02-19,-1.9319
2014-02-20,3.2637
2014-02-21,-0.1139
2014-02-24,-0.057
2014-02-25,-1.312
2014-02-26,-0.289
2014-02-27,2.087
2014-02-28,3.6343
2014-03-03,-0.3014
2014-03-04,1.5389
2014-03-05,-3.2476
2014-03-06,-3.2448
2014-03-07,-1.1564
2014-03-10,-6.1421
