ticker,NOHO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-08,36.3636
2011-03-09,13.3333
2011-03-10,15.2941
2011-03-11,5.102
2011-03-14,16.5049
2011-03-15,7.5
2011-03-16,2.3256
2011-03-17,10.6061
2011-03-18,-6.8493
2011-03-21,2.2059
2011-03-22,15.1079
2011-03-23,11.25
2011-03-24,5.618
2011-03-25,7.4468
2011-03-28,9.901
2011-03-29,9.9099
2011-03-30,0.8197
2011-03-31,-13.8211
2011-04-01,-5.6604
2011-04-04,4.5
2011-04-05,-2.3923
2011-04-06,-8.0882
2011-04-07,-4.5333
2011-04-08,7.2626
2011-04-11,6.25
2011-04-12,-8.3333
2011-04-13,-12.8342
2011-04-14,-11.0429
2011-04-15,-33.7931
2011-04-18,-4.1667
2011-04-19,-6.5217
2011-04-20,-9.3023
2011-04-21,6.4103
2011-04-25,13.253
2011-04-26,26.5957
2011-04-27,12.605
2011-04-28,-20.8955
2011-04-29,0.9434
2011-05-02,-6.5421
2011-05-03,-5.0
2011-05-04,-2.1053
2011-05-05,-10.7527
2011-05-06,-1.1898
2011-05-09,12.178
2011-05-10,-8.6957
2011-05-11,1.1905000000000001
2011-05-12,-4.7059
2011-05-13,1.2346
2011-05-16,-4.2683
2011-05-17,-4.4586
2011-05-18,0.0
2011-05-19,-6.6667
2011-05-20,-11.4286
2011-05-23,6.4516
2011-05-24,-3.0303
2011-05-25,4.6875
2011-05-26,-0.7463
2011-05-27,-2.2556
2011-05-31,7.6923
2011-06-01,-5.7143
2011-06-02,-4.5455
2011-06-03,5.873
2011-06-06,-5.5472
2011-06-07,-12.6984
2011-06-08,-7.2727
2011-06-09,-5.8824
2011-06-10,-4.1667
2011-06-13,13.0435
2011-06-14,5.7692
2011-06-15,0.0
2011-06-16,1.8182
2011-06-17,-8.9063
2011-06-20,-1.9848
2011-06-21,-10.0
2011-06-22,12.2222
2011-06-23,-4.9505
2011-06-24,-12.5
2011-06-27,0.0
2011-06-28,7.1429
2011-06-29,8.8889
2011-06-30,-18.3673
2011-07-01,5.0
2011-07-05,7.1429
2011-07-06,0.0
2011-07-07,-8.8889
2011-07-08,26.8598
2011-07-11,-1.9466
2011-07-12,7.8431
2011-07-13,3.6364
2011-07-14,-1.7544
2011-07-15,-1.7856999999999998
2011-07-18,0.0
2011-07-19,-2.7273
2011-07-20,1.8692
2011-07-21,-0.9174
2011-07-22,-1.8519
2011-07-25,-7.5472
2011-07-26,-1.8367
2011-07-27,0.8316
2011-07-28,-0.8247
