ticker,PIPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-22,-6.0109
2003-12-23,-4.5349
2003-12-24,-0.1218
2003-12-26,-1.7805
2003-12-29,0.596
2003-12-30,1.4811
2003-12-31,1.1189
2004-01-02,3.44
2004-01-05,-1.6279
2004-01-06,0.6147
2004-01-07,2.3026
2004-01-08,-2.6183
2004-01-09,-2.4764
2004-01-12,1.5718999999999999
2004-01-13,-0.5952
2004-01-14,2.0359
2004-01-15,5.7981
2004-01-16,2.4406
2004-01-20,-1.8843
2004-01-21,3.7528
2004-01-22,4.2553
2004-01-23,-2.9592
2004-01-26,-0.3365
2004-01-27,0.6541
2004-01-28,-4.717
2004-01-29,0.44
2004-01-30,2.8478
2004-02-02,-1.4696
2004-02-03,-0.4972
2004-02-04,-2.2377
2004-02-05,0.3333
2004-02-06,3.5437
2004-02-09,0.4064
2004-02-10,2.2582
2004-02-11,3.4792
2004-02-12,2.7782999999999998
2004-02-13,-0.8815
2004-02-17,0.2964
2004-02-18,0.7685
2004-02-19,-0.0782
2004-02-20,0.9002
2004-02-23,-0.9891
2004-02-24,-1.0774
2004-02-25,2.9703
2004-02-26,-0.0577
2004-02-27,-0.8659
2004-03-01,1.514
2004-03-02,0.5736
2004-03-03,1.5209000000000001
2004-03-04,7.9213000000000005
2004-03-05,-1.2667
2004-03-08,-0.0879
2004-03-09,0.0
2004-03-10,-1.5655000000000001
2004-03-11,-3.3417
2004-03-12,1.6824
2004-03-15,-2.1818
2004-03-16,-1.5798999999999999
2004-03-17,0.661
2004-03-18,-0.1876
2004-03-19,-1.8045
2004-03-22,-1.0337
2004-03-23,-0.619
2004-03-24,-1.2067
2004-03-25,4.866
2004-03-26,2.3859
2004-03-29,2.5321
2004-03-30,-2.738
2004-03-31,-0.368
2004-04-01,-0.277
2004-04-02,0.463
2004-04-05,1.3272
2004-04-06,0.6549
2004-04-07,0.3976
2004-04-08,-0.09
2004-04-12,-0.036
2004-04-13,-2.0728
2004-04-14,-0.1288
2004-04-15,-3.2436
2004-04-16,0.0952
2004-04-19,-1.3511
2004-04-20,-0.1736
2004-04-21,-3.9614000000000003
2004-04-22,4.5272
2004-04-23,1.155
2004-04-26,-0.5709
2004-04-27,-0.4785
2004-04-28,-4.2308
2004-04-29,-2.0884
2004-04-30,-0.6973
2004-05-03,-0.6609
2004-05-04,-0.4158
2004-05-05,2.0877
2004-05-06,-1.1043
2004-05-07,-1.4888
2004-05-10,0.6507
2004-05-11,1.8561
