ticker,ACIU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-23,42.3636
2016-09-26,5.364
2016-09-27,10.3636
2016-09-28,5.9857
2016-09-29,-9.1192
2016-09-30,-6.1003
2016-10-03,8.4396
2016-10-04,-1.9037
2016-10-05,-4.9087
2016-10-06,-3.4814
2016-10-07,-1.6791
2016-10-10,-3.5421
2016-10-11,-0.9836
2016-10-12,-4.106
2016-10-13,-3.2459
2016-10-14,-0.3569
2016-10-17,3.3668
2016-10-18,5.2668
2016-10-19,-2.8966
2016-10-20,1.4237
2016-10-21,4.8128
2016-10-24,-3.1888
2016-10-25,3.6891
2016-10-26,0.0635
2016-10-27,-5.3333
2016-10-28,-2.3474
2016-10-31,-6.456
2016-11-01,-5.9471
2016-11-02,-5.9329
2016-11-03,0.249
2016-11-04,-1.8212000000000002
2016-11-07,-2.9511
2016-11-08,-8.6012
2016-11-09,26.3308
2016-11-10,6.471
2016-11-11,6.7844999999999995
2016-11-14,-2.7134
2016-11-15,4.4898
2016-11-16,1.3672
2016-11-17,3.4682
2016-11-18,-5.0279
2016-11-21,-7.9739
2016-11-22,-2.6989
2016-11-23,-15.8394
2016-11-25,9.3669
2016-11-28,-3.8064999999999998
2016-11-29,-2.2259
2016-11-30,-2.2766
2016-12-01,-0.0863
2016-12-02,-0.6908
2016-12-05,3.7391
2016-12-06,0.5029
2016-12-07,-2.8357
2016-12-08,3.4335
2016-12-09,23.9004
2016-12-12,-13.7977
2016-12-13,3.8073
2016-12-14,1.8713
2016-12-15,-0.4409
2016-12-16,5.6827
2016-12-19,1.4665
2016-12-20,-1.3765
2016-12-21,-10.328
2016-12-22,-2.2568
2016-12-23,5.3344
2016-12-27,2.192
2016-12-28,-6.0651
2016-12-29,-1.2598
2016-12-30,3.5088
2017-01-03,0.2311
2017-01-04,4.9193
2017-01-05,-0.8791
2017-01-06,0.9608
2017-01-09,-2.3426
2017-01-10,-0.3748
2017-01-11,0.9782
2017-01-12,-2.7571
2017-01-13,3.4483
2017-01-17,-2.2222
2017-01-18,-1.6667
2017-01-19,-2.5423999999999998
2017-01-20,-0.3953
2017-01-23,-1.5873
2017-01-24,-2.8226
2017-01-25,0.8299
2017-01-26,0.823
2017-01-27,-1.0612
2017-01-30,-2.9703
2017-01-31,2.2109
2017-02-01,-0.3328
2017-02-02,0.9182
2017-02-03,0.4136
2017-02-06,-1.1532
2017-02-07,0.0833
2017-02-08,1.4155
2017-02-09,-4.5156
2017-02-10,3.2674
