ticker,PMTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-09,21.7
2015-10-12,5.7518
2015-10-13,-3.6519
2015-10-14,1.0484
2015-10-15,1.6760000000000002
2015-10-16,-1.6484
2015-10-19,-4.0702
2015-10-20,-4.6589
2015-10-21,-3.4904
2015-10-22,-3.9783
2015-10-23,-0.8475
2015-10-26,3.2289
2015-10-27,0.644
2015-10-28,2.5594
2015-10-29,-1.5152
2015-10-30,0.4525
2015-11-02,-0.6306
2015-11-03,3.4451
2015-11-04,2.5416
2015-11-05,3.6752000000000002
2015-11-06,-1.8961000000000001
2015-11-09,-0.2521
2015-11-10,2.0219
2015-11-11,1.569
2015-11-12,-4.5527999999999995
2015-11-13,-7.0698
2015-11-16,-1.4665
2015-11-17,-4.3721
2015-11-18,-1.751
2015-11-19,0.0
2015-11-20,6.0396
2015-11-23,-2.7077
2015-11-24,-4.6065000000000005
2015-11-25,-2.4145
2015-11-27,-0.4124
2015-11-30,0.5176
2015-12-01,-1.7508
2015-12-02,4.1929
2015-12-03,-1.6097000000000001
2015-12-04,1.7382
2015-12-07,0.201
2015-12-08,0.3009
2015-12-09,-0.2
2015-12-10,0.1002
2015-12-11,1.8018
2015-12-14,-1.9666000000000001
2015-12-15,0.1003
2015-12-16,-2.3045999999999998
2015-12-17,1.9487
2015-12-18,-2.2133
2015-12-21,3.6008
2015-12-22,-0.1986
2015-12-23,0.398
2015-12-24,5.2527
2015-12-28,-1.1299
2015-12-29,-1.2381
2015-12-30,1.4465
2015-12-31,1.3308
2016-01-04,2.2514
2016-01-05,1.6514
2016-01-06,-2.7076000000000002
2016-01-07,-4.4527
2016-01-08,-0.1942
2016-01-11,0.8755
2016-01-12,-4.7252
2016-01-13,-4.3522
2016-01-14,-0.3175
2016-01-15,-4.7771
2016-01-19,-0.3344
2016-01-20,-0.6711
2016-01-21,-13.2883
2016-01-22,1.2987
2016-01-25,0.8974
2016-01-26,5.2097
2016-01-27,2.2947
2016-01-28,1.771
2016-01-29,-2.4362
2016-02-01,0.1189
2016-02-02,-3.0879
2016-02-03,-1.3479999999999999
2016-02-04,-1.7391
2016-02-05,-0.1264
2016-02-08,2.9114
2016-02-09,-0.123
2016-02-10,-2.9557
2016-02-11,-1.1421000000000001
2016-02-12,0.2567
2016-02-16,1.2804
2016-02-17,1.1378
2016-02-18,-3.0
2016-02-19,1.1598
2016-02-22,-1.7833999999999999
2016-02-23,2.3346
2016-02-24,-3.9290000000000003
2016-02-25,5.5409
