ticker,GSKY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-24,1.5652
2018-05-25,6.036
2018-05-29,0.7267
2018-05-30,3.1263
2018-05-31,4.042
2018-06-01,-0.4109
2018-06-04,-4.9512
2018-06-05,0.7893
2018-06-06,-4.0329
2018-06-07,-6.3647
2018-06-08,3.6601
2018-06-11,1.177
2018-06-12,0.7894
2018-06-13,-0.5359
2018-06-14,1.3676
2018-06-15,-0.8994
2018-06-18,0.7838
2018-06-19,-1.8011
2018-06-20,-1.0004
2018-06-21,-0.2526
2018-06-22,1.984
2018-06-25,-4.0149
2018-06-26,-4.959
2018-06-27,-8.7568
2018-06-28,5.3705
2018-06-29,-0.1888
2018-07-02,-2.6005000000000003
2018-07-03,0.6311
2018-07-05,1.9778
2018-07-06,1.0407
2018-07-09,2.3876
2018-07-10,-0.3201
2018-07-11,-3.1651
2018-07-12,-3.7897
2018-07-13,-5.1206
2018-07-16,-1.0898
2018-07-17,-1.1542
2018-07-18,5.4406
2018-07-19,-0.7803
2018-07-20,-1.0147
2018-07-23,0.4613
2018-07-24,-1.7856999999999998
2018-07-25,-0.4675
2018-07-26,-3.7056
2018-07-27,-3.523
2018-07-30,-2.8651999999999997
2018-07-31,0.0578
2018-08-01,3.4104
2018-08-02,0.0559
2018-08-03,-0.2793
2018-08-06,18.9356
2018-08-07,-10.9279
2018-08-08,-3.9661999999999997
2018-08-09,-7.1586
2018-08-10,-7.5326
2018-08-13,-6.9917
2018-08-14,6.1379
2018-08-15,3.3788
2018-08-16,10.6851
2018-08-17,3.6911
2018-08-20,-1.9167999999999998
2018-08-21,1.8984
2018-08-22,-0.6575
2018-08-23,0.3861
2018-08-24,6.8681
2018-08-27,-1.7995
2018-08-28,0.9424
2018-08-29,2.334
2018-08-30,1.1657
2018-08-31,1.4529
2018-09-04,-1.9752999999999998
2018-09-05,-3.4761
2018-09-06,-3.0271
2018-09-07,2.2605
2018-09-10,4.3684
2018-09-11,1.6137000000000001
2018-09-12,-0.8437
2018-09-13,0.0
2018-09-14,-0.7508
2018-09-17,-2.5214
2018-09-18,2.1728
2018-09-19,2.2785
2018-09-20,-1.6832
2018-09-21,1.863
2018-09-24,-1.7795
2018-09-25,-0.7046
2018-09-26,-4.7643
2018-09-27,-1.2241
2018-09-28,-3.0172
2018-10-01,0.0556
2018-10-02,-1.2215
2018-10-03,0.0562
2018-10-04,-2.3034
2018-10-05,-4.9454
2018-10-08,-3.2063
2018-10-09,0.9375
2018-10-10,-5.5728
