ticker,AZRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-12,10.0402
2016-10-13,-6.0219
2016-10-14,2.1359
2016-10-17,-4.7529
2016-10-18,-0.7984
2016-10-19,-0.4024
2016-10-20,1.0101
2016-10-21,-0.4
2016-10-24,0.4016
2016-10-25,-0.4
2016-10-26,0.4016
2016-10-27,0.0
2016-10-28,-1.0
2016-10-31,2.4242
2016-11-01,-0.6447
2016-11-02,-0.7432
2016-11-04,-4.9976
2016-11-07,2.7829
2016-11-08,1.7986
2016-11-09,-4.4266
2016-11-10,-0.2105
2016-11-11,-4.1772
2016-11-14,1.9375
2016-11-15,0.0
2016-11-16,-0.108
2016-11-17,0.5405
2016-11-18,0.6452
2016-11-21,-8.1197
2016-11-22,-0.2326
2016-11-23,-3.2634
2016-11-25,7.4699
2016-11-28,-8.0717
2016-11-29,-2.1951
2016-11-30,4.7382
2016-12-01,-2.5
2016-12-02,0.3663
2016-12-05,3.4063
2016-12-06,2.4706
2016-12-07,1.6992
2016-12-08,3.6351
2016-12-09,-0.8715
2016-12-12,-1.0989
2016-12-13,0.4444
2016-12-14,-0.2212
2016-12-15,-2.439
2016-12-16,-10.0
2016-12-19,1.7677
2016-12-20,-0.7444
2016-12-21,4.8078
2016-12-22,1.376
2016-12-23,-3.7647
2016-12-27,-0.978
2016-12-28,-0.2469
2016-12-29,7.6733
2016-12-30,8.9655
2017-01-03,-10.3376
2017-01-04,0.0
2017-01-05,9.4118
2017-01-06,1.0753
2017-01-09,5.5957
2017-01-10,0.544
2017-01-11,-5.6112
2017-01-12,-6.5817
2017-01-13,5.2273
2017-01-17,-6.0475
2017-01-18,-0.6897
2017-01-19,0.0
2017-01-20,5.5556
2017-01-23,-4.6053
2017-01-24,0.0718
2017-01-25,2.2254
2017-01-26,4.4944
2017-01-27,2.1505
2017-01-30,-5.2632
2017-01-31,-2.6667
2017-02-01,2.3402
2017-02-02,-0.9509
2017-02-03,0.9037
2017-02-06,-5.1339
2017-02-07,-5.8824
2017-02-08,0.0
2017-02-09,1.1905999999999999
2017-02-10,0.0587
2017-02-14,4.5895
2017-02-15,-3.4438
2017-02-16,0.2445
2017-02-17,0.9756
2017-02-21,0.0
2017-02-22,-3.1401
2017-02-23,0.7481
2017-02-24,3.7129
2017-02-27,2.3866
2017-02-28,-3.2634
2017-03-01,-0.7229
2017-03-02,-0.9709
2017-03-03,0.0
2017-03-06,1.4706000000000001
2017-03-07,0.7246
2017-03-08,-1.199
2017-03-09,-2.6699
