ticker,TNP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-05,0.6667
2002-03-06,-0.6623
2002-03-07,1.6
2002-03-08,-1.5091999999999999
2002-03-11,0.2665
2002-03-12,-0.2658
2002-03-13,-0.0666
2002-03-14,0.2667
2002-03-15,0.266
2002-03-18,-0.5305
2002-03-19,-1.0
2002-03-20,-1.0101
2002-03-21,0.0
2002-03-22,1.7006999999999999
2002-03-25,-0.2676
2002-03-26,1.2743
2002-03-27,-0.1325
2002-03-28,0.9947
2002-04-01,-0.5253
2002-04-02,-0.9901
2002-04-03,0.0
2002-04-04,-0.3333
2002-04-05,0.3344
2002-04-08,0.1333
2002-04-09,0.1997
2002-04-10,0.3322
2002-04-11,0.3311
2002-04-12,1.6502
2002-04-15,-0.974
2002-04-16,0.0
2002-04-17,-0.9836
2002-04-18,1.3245
2002-04-19,0.3268
2002-04-22,0.456
2002-04-23,-1.4267
2002-04-24,0.3289
2002-04-25,-0.3279
2002-04-26,-0.6579
2002-04-29,-0.3311
2002-04-30,0.9967
2002-05-01,0.0
2002-05-02,-0.3289
2002-05-03,3.9604
2002-05-06,-2.2222
2002-05-07,1.9481000000000002
2002-05-08,0.1274
2002-05-09,-0.1272
2002-05-10,0.6369
2002-05-13,-0.5696
2002-05-14,1.2094
2002-05-15,-0.3145
2002-05-16,-0.0631
2002-05-17,0.0631
2002-05-20,0.0
2002-05-21,0.5678
2002-05-22,0.3764
2002-05-23,2.5
2002-05-24,-1.5244
2002-05-28,0.1858
2002-05-29,0.2472
2002-05-30,0.8015
2002-05-31,-1.2232
2002-06-03,-2.1672
2002-06-04,-1.0127
2002-06-05,-3.133
2002-06-06,-1.1881
2002-06-07,-1.1356
2002-06-10,-0.6757
2002-06-11,0.6803
2002-06-12,-0.3378
2002-06-13,-0.339
2002-06-14,0.0
2002-06-17,0.3401
2002-06-18,0.0
2002-06-19,0.0
2002-06-20,-1.3559
2002-06-21,-1.3746
2002-06-24,0.6969
2002-06-25,-3.1142
2002-06-26,-0.1429
2002-06-27,0.1431
2002-06-28,0.0
2002-07-01,0.0
2002-07-02,0.0
2002-07-03,-0.5
2002-07-05,0.2872
2002-07-08,-0.5011
2002-07-09,-0.1439
2002-07-10,-2.7378
2002-07-11,-0.3704
2002-07-12,-5.2045
2002-07-15,-3.9215999999999998
2002-07-16,0.2449
2002-07-17,0.57
2002-07-18,-1.6194
2002-07-19,-0.823
2002-07-22,-2.0747
2002-07-23,-0.4237
2002-07-24,-0.2553
