ticker,NEWR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-12,47.7826
2014-12-15,-10.2089
2014-12-16,1.9003999999999999
2014-12-17,0.3859
2014-12-18,-2.5625
2014-12-19,3.4516999999999998
2014-12-22,-0.6991
2014-12-23,2.7199999999999998
2014-12-24,5.1713000000000005
2014-12-26,-0.7109
2014-12-29,7.1599
2014-12-30,-2.0601
2014-12-31,-0.9665
2015-01-02,4.6785
2015-01-05,2.1387
2015-01-06,-4.4295
2015-01-07,0.6742
2015-01-08,-1.1719
2015-01-09,-4.4043
2015-01-12,1.4176
2015-01-13,-4.4846
2015-01-14,-4.7256
2015-01-15,0.064
2015-01-16,2.0147
2015-01-20,-2.7586
2015-01-21,2.7724
2015-01-22,-2.4153000000000002
2015-01-23,5.4323
2015-01-26,-1.4024
2015-01-27,-0.8349
2015-01-28,-3.2117
2015-01-29,2.1585
2015-01-30,-2.0498
2015-02-02,-2.3503
2015-02-03,3.8246
2015-02-04,-0.5081
2015-02-05,4.8197
2015-02-06,3.0755
2015-02-09,3.2201
2015-02-10,-0.2003
2015-02-11,0.6596
2015-02-12,2.1368
2015-02-13,-5.8577
2015-02-17,3.8519
2015-02-18,0.485
2015-02-19,-1.5332
2015-02-20,0.6055
2015-02-23,1.6337000000000002
2015-02-24,-0.4512
2015-02-25,-0.2833
2015-02-26,0.5398
2015-02-27,-2.6279
2015-03-02,-1.1027
2015-03-03,2.9636
2015-03-04,-0.513
2015-03-05,0.7448
2015-03-06,-2.5874
2015-03-09,0.5546
2015-03-10,0.3193
2015-03-11,0.9549
2015-03-12,-0.0287
2015-03-13,-2.3796
2015-03-16,-0.7342
2015-03-17,-1.6272
2015-03-18,1.5338
2015-03-19,1.0071
2015-03-20,1.9355
2015-03-23,0.4891
2015-03-24,-1.3742
2015-03-25,-4.0058
2015-03-26,1.7539
2015-03-27,-1.0401
2015-03-30,2.1021
2015-03-31,2.0588
2015-04-01,-5.9942
2015-04-02,-2.9123
2015-04-06,3.9154
2015-04-07,-2.127
2015-04-08,2.7631
2015-04-09,-0.4532
2015-04-10,-0.698
2015-04-13,-0.7641
2015-04-14,3.0182
2015-04-15,-1.0164
2015-04-16,-1.5705
2015-04-17,-1.7797
2015-04-20,2.8116
2015-04-21,4.8921
2015-04-22,-4.3453
2015-04-23,-0.1817
2015-04-24,-0.8495
2015-04-27,-1.2546
2015-04-28,-0.5268
2015-04-29,1.8069
2015-04-30,-0.5814
2015-05-01,1.5082
2015-05-04,-1.4251
