ticker,GAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-05,55.8824
2020-05-06,4.6038
2020-05-07,-2.5253
2020-05-08,6.6617
2020-05-11,4.372
2020-05-12,1.4628
2020-05-13,-14.81
2020-05-14,10.3846
2020-05-15,0.0697
2020-05-18,0.9749
2020-05-19,-2.8276
2020-05-20,7.1682
2020-05-21,-0.7947
2020-05-22,2.8037
2020-05-26,6.8182
2020-05-27,0.1824
2020-05-28,9.8301
2020-05-29,20.9392
2020-06-01,11.0096
2020-06-02,-10.823
2020-06-03,-4.1071
2020-06-04,-0.1925
2020-06-05,-9.595
2020-06-08,7.2533
2020-06-09,0.7459
2020-06-10,-3.85
2020-06-11,-9.6509
2020-06-12,3.3523
2020-06-15,17.812
2020-06-16,2.3798
2020-06-17,5.9708
2020-06-18,5.9355
2020-06-19,5.5217
2020-06-22,-7.7337
2020-06-23,0.5421
2020-06-24,3.6085000000000003
2020-06-25,-4.7638
2020-06-26,0.2942
2020-06-29,8.9271
2020-06-30,-2.0777
2020-07-01,8.2515
2020-07-02,0.1089
2020-07-06,-1.9579
2020-07-07,0.3698
2020-07-08,1.1791
2020-07-09,-1.1289
2020-07-10,-5.3775
2020-07-13,-10.4321
2020-07-14,2.4772
2020-07-15,-0.7209
2020-07-16,3.4601
2020-07-17,2.725
2020-07-20,-1.0048
2020-07-21,3.6135
2020-07-22,-2.9781
2020-07-23,-5.8966
2020-07-24,-1.7167
2020-07-27,-6.5066
2020-07-28,-0.7473
2020-07-29,-1.7412
2020-07-30,-4.3103
2020-07-31,-3.1532
