ticker,CCYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-10,0.0
2019-06-17,0.0
2019-06-20,162.5
2019-06-28,-47.619
2020-02-07,1263.6364
2020-02-11,0.8
2020-02-12,58.730199999999996
2020-02-13,12.5
2020-02-14,6.6667
2020-02-18,-2.0833
2020-02-19,48.9362
2020-02-20,1.4285999999999999
2020-02-21,0.0
2020-02-24,5.6338
2020-02-26,1.3333
2020-02-27,5.2632
2020-03-04,-18.75
2020-03-18,-13.8462
2020-03-26,-1.7821
2020-04-21,18.1775
2020-04-23,0.0
2020-04-28,-23.0769
2020-05-08,-20.0
2020-05-15,-72.5
2020-05-20,-9.0909
2020-05-28,20.0
2020-06-12,-10.0
2020-07-16,-7.4074
2020-07-23,-6.6667
2020-07-24,-21.4286
