ticker,PRGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.185
2000-01-04,-7.0115
2000-01-05,-4.5735
2000-01-06,-3.2383
2000-01-07,11.3788
2000-01-10,0.1202
2000-01-11,-0.6002
2000-01-12,-5.314
2000-01-13,1.3393
2000-01-14,3.5872
2000-01-18,-2.9769
2000-01-19,0.1879
2000-01-20,0.4375
2000-01-21,2.8002000000000002
2000-01-24,-1.3317
2000-01-25,-6.0123
2000-01-26,-1.8277
2000-01-27,0.133
2000-01-28,-3.8513
2000-01-31,-4.4199
2000-02-01,4.0462
2000-02-02,-5.5556
2000-02-03,6.4706
2000-02-04,3.0387
2000-02-07,1.2735
2000-02-08,-11.0523
2000-02-09,-5.6548
2000-02-10,2.5237
2000-02-11,-0.4615
2000-02-14,-0.9274
2000-02-15,-3.2761
2000-02-16,-2.0968
2000-02-17,4.7776
2000-02-18,-3.1447
2000-02-22,6.8182
2000-02-23,9.4225
2000-02-24,0.2778
2000-02-25,-2.9086
2000-02-28,5.1355
2000-02-29,8.2768
2000-03-01,4.386
2000-03-02,2.6411
2000-03-03,-1.2865
2000-03-06,-3.3175
2000-03-07,-5.3922
2000-03-08,-2.5907
2000-03-09,0.5319
2000-03-10,-12.6984
2000-03-13,6.6667
2000-03-14,0.9943
2000-03-15,-6.8917
2000-03-16,-3.3233
2000-03-17,1.4062999999999999
2000-03-20,14.3297
2000-03-21,-0.8086
2000-03-22,8.4239
2000-03-23,-2.005
2000-03-24,-3.3247999999999998
2000-03-27,1.5873
2000-03-28,-6.7708
2000-03-29,-2.5140000000000002
2000-03-30,-0.8596
2000-03-31,8.3815
2000-04-03,-1.8667
2000-04-04,-6.5217
2000-04-05,-0.5814
2000-04-06,-2.3392
2000-04-07,0.5988
2000-04-10,0.0
2000-04-11,-4.6131
2000-04-12,0.468
2000-04-13,1.8634
2000-04-14,2.439
2000-04-17,-4.4643
2000-04-18,2.1807
2000-04-19,1.2195
2000-04-20,-3.012
2000-04-24,-3.7267
2000-04-25,2.2580999999999998
2000-04-26,-1.8927
2000-04-27,-1.6077
2000-04-28,4.5752
2000-05-01,-0.3125
2000-05-02,-3.4483
2000-05-03,-1.6234
2000-05-04,-1.3201
2000-05-05,1.6722000000000001
2000-05-08,-7.5658
2000-05-09,-4.9822
2000-05-10,-5.9925
2000-05-11,1.992
2000-05-12,4.6875
2000-05-15,0.3731
2000-05-16,7.8067
2000-05-17,-2.4138
2000-05-18,-1.0601
2000-05-19,-7.1429
