ticker,CHRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-06,-6.5926
2014-11-07,19.7462
2014-11-10,1.0596
2014-11-11,-2.0315
2014-11-12,-3.5452
2014-11-13,-3.6061
2014-11-14,0.1439
2014-11-17,-5.5316
2014-11-18,0.076
2014-11-19,0.0
2014-11-20,-1.2158
2014-11-21,0.3846
2014-11-24,2.7586
2014-11-25,2.5354
2014-11-26,-1.1636
2014-11-28,1.0302
2014-12-01,-2.622
2014-12-02,5.7592
2014-12-03,0.7779
2014-12-04,-0.4912
2014-12-05,1.3399
2014-12-08,-0.2088
2014-12-09,5.9275
2014-12-10,-1.4483
2014-12-11,-3.006
2014-12-12,-2.7548
2014-12-15,-2.4079
2014-12-16,-1.0885
2014-12-17,-4.3286999999999995
2014-12-18,0.8436
2014-12-19,-2.9657999999999998
2014-12-22,0.4702
2014-12-23,9.6724
2014-12-24,5.6188
2014-12-26,5.5892
2014-12-29,4.3367
2014-12-30,-2.0171
2014-12-31,1.8091
2015-01-02,-3.0637
2015-01-05,1.5171000000000001
2015-01-06,4.8568
2015-01-07,17.5178
2015-01-08,7.7312
2015-01-09,4.3152
2015-01-12,-3.8669000000000002
2015-01-13,4.9579
2015-01-14,1.5152
2015-01-15,-7.8578
2015-01-16,-1.858
2015-01-20,2.3301
2015-01-21,-3.0361
2015-01-22,2.0548
2015-01-23,-3.3078
2015-01-26,9.767
2015-01-27,0.542
2015-01-28,-0.3145
2015-01-29,3.6503
2015-01-30,-2.4348
2015-02-02,0.2228
2015-02-03,-2.5789
2015-02-04,-1.1867
2015-02-05,12.6559
2015-02-06,17.5072
2015-02-09,12.91
2015-02-10,-9.2707
2015-02-11,-6.4714
2015-02-12,1.311
2015-02-13,-2.5521000000000003
2015-02-17,-1.955
2015-02-18,5.3047
2015-02-19,-2.1436
2015-02-20,0.2191
2015-02-23,2.4044
2015-02-24,6.2255
2015-02-25,7.7026
2015-02-26,1.6791
2015-02-27,-3.3945
2015-03-02,3.9886
2015-03-03,-3.2877
2015-03-04,2.6755
2015-03-05,-8.9209
2015-03-06,-7.5059000000000005
2015-03-09,-1.8195000000000001
2015-03-10,3.1875
2015-03-11,-1.2931
2015-03-12,1.9651
2015-03-13,3.3547000000000002
2015-03-16,3.2804
2015-03-17,2.8753
2015-03-18,3.3149
2015-03-19,-9.6257
2015-03-20,-7.9011
2015-03-23,-3.2502
2015-03-24,6.1719
2015-03-25,-9.6762
2015-03-26,9.8574
2015-03-27,5.3393
