ticker,KALV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-09,11.2
2015-04-10,-4.8561
2015-04-13,-4.7259
2015-04-14,5.754
2015-04-15,5.2533
2015-04-16,-3.9215999999999998
2015-04-17,12.987
2015-04-20,20.3612
2015-04-21,0.955
2015-04-22,-5.1350999999999996
2015-04-23,7.6923
2015-04-24,-1.455
2015-04-27,-8.0537
2015-04-28,-14.7445
2015-04-29,-10.9589
2015-04-30,-3.0769
2015-05-01,7.5397
2015-05-04,10.5166
2015-05-05,-2.0033
2015-05-06,-5.4514
2015-05-07,2.7027
2015-05-08,4.5614
2015-05-11,-1.5101
2015-05-12,11.7547
2015-05-13,6.25
2015-05-14,3.8737
2015-05-15,6.3536
2015-05-18,-1.1688
2015-05-19,-5.9133
2015-05-20,2.7933
2015-05-21,2.038
2015-05-22,0.3995
2015-05-26,-0.5305
2015-05-27,-4.0
2015-05-28,3.6111
2015-05-29,0.4021
2015-06-01,0.1335
2015-06-02,2.6667
2015-06-03,3.5065
2015-06-04,6.1481
2015-06-05,4.0189
2015-06-08,2.7273
2015-06-09,-1.5487
2015-06-10,-0.1124
2015-06-11,-1.0124
2015-06-12,-0.1136
2015-06-15,-0.9101
2015-06-16,-0.3444
2015-06-17,-3.8018
2015-06-18,2.3952
2015-06-19,-9.8246
2015-06-22,5.5772
2015-06-23,-10.688
2015-06-24,-1.9257
2015-06-25,-5.0491
2015-06-26,2.9542
2015-06-29,1.8651
2015-06-30,0.7042
2015-07-01,-0.979
2015-07-02,-6.6384
2015-07-06,8.3207
2015-07-07,0.5587
2015-07-08,-1.6667
2015-07-09,-1.8362
2015-07-10,4.4604
2015-07-13,-2.0661
2015-07-14,2.6723
2015-07-15,-2.8767
2015-07-16,0.5642
2015-07-17,10.0982
2015-07-20,-7.8981
2015-07-21,3.0429
2015-07-22,2.4161
2015-07-23,-2.097
2015-07-24,-7.7644
2015-07-27,-0.1451
2015-07-28,5.9593
2015-07-29,-1.5089000000000001
2015-07-30,-2.2284
2015-07-31,-1.567
2015-08-03,0.0
2015-08-04,-1.013
2015-08-05,-0.4386
2015-08-06,-3.5242
2015-08-07,-0.3044
2015-08-10,0.6107
2015-08-11,-1.6692
2015-08-12,-4.321
2015-08-13,0.8065
2015-08-14,0.48
2015-08-17,2.8662
2015-08-18,1.0836
2015-08-19,2.6034
2015-08-20,-0.4478
2015-08-21,-5.6972000000000005
2015-08-24,-12.5596
2015-08-25,-8.7273
2015-08-26,6.7729
2015-08-27,-5.0373
