ticker,WFWRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-12-11,-90.0
2002-12-12,900.0
2002-12-13,0.0
2003-01-02,3.0
2003-01-30,0.0
2003-02-05,-90.2913
2003-02-27,800.0
2003-02-28,1.1111
2003-03-04,-89.011
2003-05-01,0.0
2003-05-21,0.0
2003-05-28,0.0
2003-05-29,0.0
2003-06-06,-50.0
2003-06-18,1900.0
2003-08-18,100.0
2003-09-17,0.0
2003-09-18,0.0
2003-10-01,-99.9938
2003-10-02,1599900.0
2003-10-06,0.0
2003-10-17,0.0
2003-11-11,50.0
2003-12-16,0.0
2004-01-07,-33.3333
2004-02-26,0.0
2004-03-02,0.0
2004-03-11,-95.0
2004-03-12,0.0
2004-03-23,0.0
2004-04-01,1900.0
2004-04-02,-95.0
2006-01-09,0.0
2007-01-03,-99.875
2007-09-18,0.0
2008-02-07,0.0
2009-05-26,0.0
2017-10-10,-93.6
