ticker,HBIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-07-16,-7.6923
2001-07-25,9.7222
2002-04-30,-22.3301
2002-05-13,36.6667
2003-11-10,27.3408
2004-02-26,2.1021
2004-04-27,7.8431
2004-05-07,7.7273
2004-07-21,2.5316
2005-11-16,8.1761
2005-11-17,6.9767
2007-01-09,16.2869
2007-01-10,3.7827
2007-02-05,10.2804
2007-03-07,1.6949
2007-04-12,1.6667
2007-05-11,0.0
2007-05-30,-2.459
2007-07-02,2.521
2007-07-11,-1.2295
2007-07-12,-2.0747
2007-07-20,0.0
2007-07-31,1.6949
2007-09-26,2.0833
2007-09-27,0.4082
2007-10-01,0.0
2007-10-02,0.0
2007-10-26,0.0
2007-11-01,0.0
2007-11-20,0.0
2007-11-21,0.0
2008-02-01,-1.799
2008-02-08,2.1008
2008-03-24,0.4115
2008-03-27,0.0
2008-04-07,2.459
2008-04-11,-3.2
2008-04-28,0.0
2008-05-05,0.8264
2008-05-06,-0.8197
2008-05-07,-0.8264
2008-05-09,3.3333
2008-05-19,-1.6129
2008-06-25,-0.8197
2008-06-27,0.8264
2008-07-22,-18.0328
2009-03-05,1.8537
2009-03-13,6.0
2009-04-03,0.0
2009-04-24,-13.2075
2009-04-27,5.0
2009-11-20,1.4493
2009-11-23,0.0
2010-03-02,6.0512
2010-04-22,1.9607999999999999
2010-05-10,3.8462
2010-10-08,2.7778
2010-10-26,0.9009
2010-11-09,10.7143
2010-12-02,3.2258
2011-01-03,1.4285999999999999
2011-04-01,0.1721
2011-04-04,1.5466
2011-04-07,0.0
2011-04-12,-1.5385
2011-05-12,0.0781
2011-06-14,0.4684
2011-07-22,-3.6519
2011-08-10,3.2258
2011-08-31,0.0
2011-09-06,-4.6875
2011-09-16,1.6393
2011-09-21,0.0
2011-09-22,-0.4839
2011-09-23,0.8914
2011-09-30,1.0442
2011-10-25,3.3386
2011-10-27,-1.5385
2011-11-02,-1.5625
2011-11-04,3.1746
2011-11-23,-3.0769
2012-03-05,3.3091
2012-03-06,-0.7813
2012-03-12,-0.7874
2012-03-13,2.7778
2012-03-20,0.0
2012-03-21,-1.1583
2012-03-26,0.7813
2012-03-27,0.0
2012-03-30,0.0
2012-04-03,0.0
2012-04-05,0.0
2012-04-09,-1.0078
2012-04-10,-1.7071
2012-04-11,1.9758
2012-04-12,0.0
2012-04-13,0.0
2012-04-19,0.3906
2012-04-27,-0.3735
2012-05-04,-0.7968
2012-05-07,0.6299
2012-08-31,4.8513
