ticker,PNNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-19,-4.0
2007-04-20,2.5694
2007-04-23,0.4062
2007-04-24,1.1463
2007-04-25,-0.6667
2007-04-26,0.2685
2007-04-27,-0.2008
2007-04-30,0.4695
2007-05-01,0.1335
2007-05-02,0.1333
2007-05-03,-0.7989
2007-05-04,0.0
2007-05-07,-0.1342
2007-05-08,-0.6048
2007-05-09,0.6761
2007-05-10,0.1343
2007-05-11,-0.0738
2007-05-14,-0.3222
2007-05-15,-0.4107
2007-05-16,-0.2705
2007-05-17,-1.7627000000000002
2007-05-18,0.5521
2007-05-21,-1.0295
2007-05-22,0.9015
2007-05-23,-1.0309
2007-05-24,0.625
2007-05-25,-0.6211
2007-05-29,0.6944
2007-05-30,3.0966
2007-05-31,0.1405
2007-06-01,-0.1336
2007-06-04,0.0
2007-06-05,-0.2007
2007-06-06,0.4021
2007-06-07,0.1335
2007-06-08,-0.3333
2007-06-11,0.3344
2007-06-12,-0.3333
2007-06-13,0.5351
2007-06-14,-1.2641
2007-06-15,1.0782
2007-06-18,-0.0667
2007-06-19,-1.3342
2007-06-20,1.2847
2007-06-21,-2.628
2007-06-22,-2.699
2007-06-25,1.8492
2007-06-26,-0.9777
2007-06-27,2.1862
2007-06-28,-1.5873
2007-06-29,-1.5428
2007-07-02,3.1339
2007-07-03,1.6575
2007-07-05,-1.4946
2007-07-06,1.7931
2007-07-09,-1.4228
2007-07-10,-1.512
2007-07-11,-0.5583
2007-07-12,2.807
2007-07-13,-1.0239
2007-07-16,-0.9655
2007-07-17,0.4178
2007-07-18,0.0
2007-07-19,0.0
2007-07-20,-0.6935
2007-07-23,-0.1397
2007-07-24,-0.6294
2007-07-25,-1.9001000000000001
2007-07-26,-4.9498
2007-07-27,-0.4528
2007-07-30,0.3033
2007-07-31,0.5291
2007-08-01,2.4812
2007-08-02,-0.2201
2007-08-03,-2.2794
2007-08-06,0.602
2007-08-07,-0.5236
2007-08-08,1.5038
2007-08-09,-2.0
2007-08-10,-1.5117
2007-08-13,1.7652
2007-08-14,-1.1312
2007-08-15,-2.3646
2007-08-16,0.7813
2007-08-17,-1.6279
2007-08-20,0.8668
2007-08-21,1.1719
2007-08-22,2.3938
2007-08-23,-1.81
2007-08-24,0.768
2007-08-27,-0.7622
2007-08-28,-0.9217
2007-08-29,1.3953
2007-08-30,0.1529
2007-08-31,-0.916
2007-09-04,-0.1541
2007-09-05,-2.0833
2007-09-06,0.9456
2007-09-07,-1.5613000000000001
