ticker,CLWA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-30,-4.5
2004-10-01,6.0628
2004-10-04,-1.2736
2004-10-05,9.6
2004-10-06,2.646
2004-10-07,-2.9244
2004-10-08,-1.6574
2004-10-11,-0.838
2004-10-12,3.1831
2004-10-13,-4.4499
2004-10-14,-2.7619
2004-10-15,-1.1753
2004-10-18,-0.7929
2004-10-19,-0.0999
2004-10-20,-1.5
2004-10-21,1.0152
2004-10-22,-0.402
2004-10-25,-1.2109
2004-10-26,0.1124
2004-10-27,1.0101
2004-10-28,0.303
2004-10-29,3.2226
2004-11-01,5.0732
2004-11-02,-14.6704
2004-11-03,-7.7258
2004-11-04,5.4245
2004-11-05,1.4541
2004-11-08,-3.9691
2004-11-09,2.7555
2004-11-10,-0.6592
2004-11-11,-1.5859
2004-11-12,-2.2857
2004-11-15,1.7544
2004-11-16,-1.7241
2004-11-17,-3.6257
2004-11-18,5.8252
2004-11-19,-0.2294
2004-11-22,4.1379
2004-11-23,9.2715
2004-11-24,0.7071
2004-11-26,0.2627
2004-11-29,1.2386
2004-11-30,2.4704
2004-12-01,3.1823
2004-12-02,-0.2804
2004-12-03,1.2184
2004-12-06,2.2222
2004-12-07,3.2609
2004-12-08,7.807
2004-12-09,-2.8478
2004-12-10,2.3451
2004-12-13,10.4746
2004-12-14,6.4444
2004-12-15,-10.7168
2004-12-16,4.9104
2004-12-17,-4.3834
2004-12-20,0.0777
2004-12-21,5.7453
2004-12-22,9.0969
2004-12-23,2.0257
2004-12-27,2.2427
2004-12-28,3.4774
2004-12-29,-0.1122
2004-12-30,-0.2559
2004-12-31,-3.3792
2005-01-03,-11.7876
2005-01-04,-1.1747
2005-01-05,-3.1204
2005-01-06,-4.6012
2005-01-07,-1.1254
2005-01-10,0.2439
2005-01-11,-1.2165
2005-01-12,2.4631
2005-01-13,0.9615
2005-01-14,-1.5873
2005-01-18,-1.4516
2005-01-19,-6.9558
2005-01-20,-0.9675
2005-01-21,-1.6874
2005-01-24,5.3297
2005-01-25,5.4031
2005-01-26,-3.4988
2005-01-27,-13.6594
2005-01-28,-0.5859
2005-01-31,4.8134
2005-02-01,4.7798
2005-02-02,-1.1628
2005-02-03,-1.81
2005-02-04,-3.2258
2005-02-07,-4.8571
2005-02-08,-3.5035
2005-02-09,0.6224
2005-02-10,-3.0928
2005-02-11,1.383
2005-02-14,2.4134
2005-02-15,2.7664
2005-02-16,-1.4955
2005-02-17,-5.9717
2005-02-18,-6.1356
