ticker,ORBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-03,-29.5455
2006-11-06,-3.3548
2006-11-07,2.0027
2006-11-08,4.0576
2006-11-09,-0.1258
2006-11-10,-2.3929
2006-11-13,-3.3548
2006-11-14,-5.8745
2006-11-15,9.2199
2006-11-16,-1.2987
2006-11-17,0.6579
2006-11-20,10.9804
2006-11-21,-6.596
2006-11-22,-1.1349
2006-11-24,0.7653
2006-11-27,-5.0633
2006-11-28,-2.0
2006-11-29,3.1293
2006-11-30,-2.5066
2006-12-01,4.7361
2006-12-04,2.7132
2006-12-05,-0.6289
2006-12-06,0.0
2006-12-07,-1.2658
2006-12-08,2.8205
2006-12-11,-3.1172
2006-12-12,-1.8018
2006-12-13,5.5046
2006-12-14,-0.6211
2006-12-15,0.125
2006-12-18,-1.623
2006-12-19,6.0914
2006-12-20,7.177
2006-12-21,4.2411
2006-12-22,-3.8544
2006-12-26,-0.6682
2006-12-27,-1.4574
2006-12-28,-0.4551
2006-12-29,0.8
2007-01-03,2.0408
2007-01-04,5.4444
2007-01-05,-0.6322
2007-01-08,0.6363
2007-01-09,-0.2107
2007-01-10,-2.2175
2007-01-11,2.5918
2007-01-12,0.5263
2007-01-16,-1.2565
2007-01-17,2.439
2007-01-18,-0.5176
2007-01-19,5.2029
2007-01-22,3.6597
2007-01-23,1.3359
2007-01-24,3.5782
2007-01-25,3.0
2007-01-26,7.2374
2007-01-29,6.9136
2007-01-30,-4.0031
2007-01-31,-2.8869
2007-02-01,-4.4591
2007-02-02,0.0864
2007-02-05,9.4128
2007-02-06,3.3938
2007-02-07,0.5344
2007-02-08,-2.0501
2007-02-09,0.6202
2007-02-12,-1.1556
2007-02-13,5.0672
2007-02-14,-2.0039
2007-02-15,-3.4822
2007-02-16,1.5686
2007-02-20,1.5444
2007-02-21,1.8251
2007-02-22,4.3316
2007-02-23,-0.9306
2007-02-26,-0.2168
2007-02-27,-5.8652999999999995
2007-02-28,-0.9231
2007-03-01,-0.0776
2007-03-02,-1.0878
2007-03-05,-5.7345
2007-03-06,2.5
2007-03-07,-0.2439
2007-03-08,-0.978
2007-03-09,0.0823
2007-03-12,-0.5757
2007-03-13,0.2481
2007-03-14,1.0726
2007-03-15,-2.0408
2007-03-16,-1.75
2007-03-19,4.2409
2007-03-20,4.1497
2007-03-21,4.6875
2007-03-22,-1.8657
2007-03-23,-0.9125
2007-03-26,-0.8442
2007-03-27,-0.8514
2007-03-28,1.249
2007-03-29,-2.0817
