ticker,GCEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-06,-30.0
2008-10-14,42.8571
2008-10-16,-16.6667
2008-10-17,-19.2
2008-10-24,-0.9901
2008-10-31,-49.0
2008-11-03,-1.9607999999999999
2008-11-04,-20.0
2008-11-05,0.0
2008-11-06,0.0
2008-11-07,0.0
2008-11-10,0.0
2008-11-11,0.0
2008-11-12,-12.5
2008-11-13,0.0
2008-11-18,-5.7143
2008-11-19,-9.0909
2008-11-25,-20.0
2008-12-01,-4.1667
2008-12-03,0.0
2008-12-04,-34.7826
2008-12-05,53.3333
2008-12-08,-21.7391
2008-12-09,27.7778
2008-12-12,0.0
2008-12-16,-34.7826
2008-12-17,6.6667
2008-12-19,25.0
2008-12-31,-25.0
2009-01-05,0.0
2009-01-07,13.3333
2009-01-08,0.0
2009-01-09,-5.8824
2009-01-12,0.0
2009-01-13,25.0
2009-01-14,15.0
2009-01-15,-17.3913
2009-01-20,15.7895
2009-01-21,-9.0909
2009-01-22,0.0
2009-01-23,25.0
2009-01-26,0.0
2009-01-27,-12.0
2009-01-28,4.5455
2009-02-02,0.0
2009-02-03,-13.0435
2009-02-04,0.0
2009-02-10,-25.0
2009-02-17,0.0
2009-02-26,-26.6667
2009-02-27,0.0
2009-03-03,0.0
2009-03-04,36.3636
2009-03-10,-26.6667
2009-03-11,-9.0909
2009-03-17,0.0
2009-03-25,0.0
2009-03-26,0.0
2009-04-03,0.0
2009-04-06,0.0
2009-04-14,-10.0
2009-04-20,0.0
2009-04-21,-11.1111
2009-04-27,37.5
2009-04-28,0.0
2009-04-29,9.0909
2009-04-30,-8.3333
2009-05-01,13.6364
2009-05-05,-12.0
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
2009-05-12,36.3636
2009-05-13,-20.0
2009-05-14,25.0
2009-05-26,-33.3333
2009-05-28,0.0
2009-05-29,40.0
2009-06-01,-28.5714
2009-06-05,0.0
2009-06-08,0.0
2009-06-09,0.0
2009-06-10,0.0
2009-06-11,0.0
2009-06-12,0.0
2009-06-15,0.0
2009-06-16,310.0
2009-06-17,0.0
2009-06-19,-21.9512
2009-06-22,-59.375
2009-06-23,-23.0769
2009-06-24,-10.0
2009-06-25,33.3333
2009-06-26,0.0
2009-06-29,-16.6667
2009-06-30,-10.0
2009-07-01,33.3333
2009-07-02,15.0
2009-07-06,8.6957
2009-07-07,33.3333
2009-07-08,-5.0
2009-07-09,-5.2632
2009-07-10,-44.4444
2009-07-13,30.0
